pair_id	priority	expected_direction	method	state	minimum_cells	n_patients	n_positive	n_negative	n_zero	median_rho	minimum_rho	maximum_rho	patient_equal_meta_rho	bootstrap_ci_low	bootstrap_ci_high	exact_sign_flip_p	sign_flip_fdr_within_state_method_threshold
e2f_g2m	technical_positive_control	positive	gene_z_residual	UPR	30	10	10	0	0	0.5587523280618377	0.31717914438502676	0.8274509803921569	0.5963994109142263	0.467586028454673	0.7062790741621715	0.001953125	0.009765625
hrc_e2f	biological_discriminator	negative_or_weak	gene_z_residual	UPR	30	10	2	8	0	-0.19603014318659098	-0.48123249299719895	0.11931818181818182	-0.17712092440696145	-0.2858453038916711	-0.0650087717052143	0.01953125	0.048828125
hrc_tight_junction	primary	positive	gene_z_residual	UPR	30	10	7	3	0	0.09487471891255178	-0.0784549731918153	0.3776737967914439	0.1375195668751111	0.042696357387339366	0.23487506509695447	0.0390625	0.06510416666666667
pemt_tight_junction	key_secondary	positive	gene_z_residual	UPR	30	10	8	2	0	0.0888248657156156	-0.3609625668449198	0.2630252100840337	0.0689396299885034	-0.05486651968331507	0.16941561298921642	0.265625	0.265625
actin_tight_junction	secondary	positive_or_context_dependent	gene_z_residual	iREC	30	4	3	1	0	0.07417924483743059	-0.1408231368186874	0.315406162464986	0.08316203066853432	-0.08507280832682128	0.25524896041804174	0.5	0.5
e2f_g2m	technical_positive_control	positive	gene_z_residual	iREC	30	4	4	0	0	0.6196731195258971	0.4284445759952641	0.6914205132079273	0.5980689687633349	0.4908164783267729	0.6710340762398205	0.125	0.20833333333333334
hrc_e2f	biological_discriminator	negative_or_weak	gene_z_residual	iREC	30	4	0	4	0	-0.337037417859246	-0.4395507541990884	-0.0844040523632058	-0.3056226070971397	-0.4266487047161508	-0.17171355911358194	0.125	0.20833333333333334
hrc_tight_junction	primary	positive	gene_z_residual	iREC	30	4	4	0	0	0.27303708669455706	0.10344827586206896	0.3394957983193278	0.24955959735762792	0.1598149040064963	0.3352127828753815	0.125	0.20833333333333334
pemt_tight_junction	key_secondary	positive	gene_z_residual	iREC	30	4	3	1	0	0.24632156989420978	-0.18207282913165268	0.3374297746060361	0.16600195837542828	-0.07057021221859724	0.31110823629051904	0.25	0.3125
actin_tight_junction	secondary	positive_or_context_dependent	matched_residual	Hypoxia	30	13	13	0	0	0.14134389965377883	7.050029288724619e-05	0.4038408193748	0.16665575877988872	0.10915128004982998	0.23032001353130288	0.000244140625	0.00030517578125
e2f_g2m	technical_positive_control	positive	matched_residual	Hypoxia	30	13	13	0	0	0.49160456505436817	0.20033073722394112	0.7139082751744767	0.49621658668117186	0.4174968037398252	0.5689935838708571	0.000244140625	0.00030517578125
hrc_e2f	biological_discriminator	negative_or_weak	matched_residual	Hypoxia	30	13	2	11	0	-0.17237425287832997	-0.43561037547614734	0.056737437319961594	-0.17823524640139965	-0.25148830022658486	-0.10386507014185667	0.0009765625	0.0009765625
hrc_tight_junction	primary	positive	matched_residual	Hypoxia	30	13	13	0	0	0.28854740419547636	0.11415563214220933	0.4359624011000158	0.30120602979451716	0.24388519668156547	0.355919914286014	0.000244140625	0.00030517578125
pemt_tight_junction	key_secondary	positive	matched_residual	Hypoxia	30	13	13	0	0	0.23033629240525794	0.1306287485679628	0.5032527105921601	0.2524192247421545	0.2053908089270744	0.31108729579195904	0.000244140625	0.00030517578125
actin_tight_junction	secondary	positive_or_context_dependent	matched_residual	REC	30	9	9	0	0	0.21377303011128898	0.08653011394465547	0.372943722943723	0.21945386615955612	0.17139953486537354	0.2696588485815899	0.00390625	0.00390625
e2f_g2m	technical_positive_control	positive	matched_residual	REC	30	9	9	0	0	0.3314019434309865	0.0826839826839827	0.5628517823639776	0.3411414588143154	0.24596817784139208	0.43086748119434504	0.00390625	0.00390625
hrc_e2f	biological_discriminator	negative_or_weak	matched_residual	REC	30	9	0	9	0	-0.07276018099547511	-0.4306620209059234	-0.006303085569657946	-0.13602338385477208	-0.23883161814276144	-0.04687082037858198	0.00390625	0.00390625
hrc_tight_junction	primary	positive	matched_residual	REC	30	9	9	0	0	0.4110694183864916	0.18975468975468981	0.4689690394843437	0.3728921715584654	0.3027661575593703	0.42922340290777394	0.00390625	0.00390625
pemt_tight_junction	key_secondary	positive	matched_residual	REC	30	9	9	0	0	0.3484378852453243	0.031746031746031744	0.4505561584373305	0.30522873562963065	0.21070651317831537	0.3855800426765473	0.00390625	0.00390625
actin_tight_junction	secondary	positive_or_context_dependent	matched_residual	UPR	30	10	5	5	0	-0.01506090580932631	-0.3432703003337041	0.15366468532259522	-0.039432997930495296	-0.13254915163453831	0.041703406627352335	0.455078125	0.455078125
e2f_g2m	technical_positive_control	positive	matched_residual	UPR	30	10	10	0	0	0.4233871763278262	0.28458595581883256	0.7400560224089636	0.5044980221035631	0.39990961912094064	0.6039113268792675	0.001953125	0.009765625
hrc_e2f	biological_discriminator	negative_or_weak	matched_residual	UPR	30	10	3	7	0	-0.20469616334597443	-0.5386554621848739	0.2560160427807487	-0.18859735240762968	-0.330503966535595	-0.03690634588935784	0.05859375	0.0732421875
hrc_tight_junction	primary	positive	matched_residual	UPR	30	10	8	2	0	0.138629618219114	-0.1565434843011948	0.37843137254901965	0.15115114083212508	0.03704148642301942	0.2617762121997784	0.048828125	0.0732421875
pemt_tight_junction	key_secondary	positive	matched_residual	UPR	30	10	8	2	0	0.13706667387977073	-0.1109625668449198	0.3456582633053222	0.13408892593193802	0.044275626486955856	0.2230194864310796	0.02734375	0.068359375
actin_tight_junction	secondary	positive_or_context_dependent	matched_residual	iREC	30	4	3	1	0	0.14475763438917538	-0.02212885154061625	0.3627458386844955	0.1614487031082525	0.0206050919895228	0.2960089972763299	0.25	0.25
