k	state	metric	value_type	test	hgp	n_ehgp	n_rhgp	effect	bootstrap_ci_lower	bootstrap_ci_upper	exact_p_two_sided	n_exact_assignments	fdr_bh_across_metrics_within_state	fdr_bh_across_states_within_metric
10	NC3	hc1_dual_interface	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.0031573987997056425	-0.0031092415109691732	0.008012447541992306	0.2951048951048951	6435	0.2951048951048951	0.4666666666666667
10	NC3	hc1_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.00016339157561990936	-0.005143353525624012	0.0058182655438953025	1.0	128	1.0	1.0
10	NC3	hc1_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	-0.0006927890225873466	-0.0023386336265879917	0.000715108425114292	0.453125	256	0.6041666666666666	0.6041666666666666
10	NC3	hc1_dual_interface	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.0008561805982072559	-0.0063473788367849095	0.004360640589001741	0.7241647241647242	6435	0.7241647241647242	0.7241647241647242
10	NC3	homotypic_any_neighbour	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.3860713705020416	0.2305802419258886	0.534357059741793	0.0010878010878010878	6435	0.0021756021756021756	0.0021756021756021756
10	NC3	homotypic_any_neighbour	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.08758818718160986	0.06287741418600126	0.11090911400603483	0.015625	128	0.03125	0.020833333333333332
10	NC3	homotypic_any_neighbour	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	-0.006782123468558124	-0.022266341768856914	0.005427253001334176	0.453125	256	0.6041666666666666	0.453125
10	NC3	homotypic_any_neighbour	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.09437031065016799	-0.12259510478797539	-0.06748194373322217	0.0001554001554001554	6435	0.0006216006216006216	0.0006216006216006216
10	NC3	homotypic_neighbour_slot_fraction	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.169344431061237	0.0975929248546913	0.2383310692559957	0.0024864024864024864	6435	0.0033152033152033153	0.004972804972804973
10	NC3	homotypic_neighbour_slot_fraction	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.028527762949175146	0.016553389015313263	0.042179343210040424	0.015625	128	0.03125	0.020833333333333332
10	NC3	homotypic_neighbour_slot_fraction	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	8.714142386571401e-05	-0.007062883621855975	0.00919548842810615	0.984375	256	0.984375	0.984375
10	NC3	homotypic_neighbour_slot_fraction	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.028440621525309434	-0.043909068644410555	-0.013172732770895035	0.004351204351204351	6435	0.008702408702408702	0.008702408702408702
10	NCγ	dhc_dual_interface	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.007229414308221445	-0.021982126183806856	0.038993483572290696	0.7454545454545455	6435	0.7454545454545455	0.7454545454545455
10	NCγ	dhc_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		-0.0035177446021713763	-0.00853172350998812	0.0014962343056453653	0.25	128	0.3333333333333333	0.8125
10	NCγ	dhc_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	0.011054675610794977	-0.008677785241859965	0.0394511511529321	0.59375	256	0.59375	0.875
10	NCγ	dhc_dual_interface	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.014572420212966354	-0.006317188207033389	0.043377245252903644	0.43605283605283607	6435	0.43605283605283607	0.8721056721056721
10	NCγ	hc1_dual_interface	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.001904761904761905	-0.005714285714285714	0.0	0.4666666666666667	6435	0.6222222222222222	0.4666666666666667
10	NCγ	hc1_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.0010062808800084032	-0.0006705308555226241	0.0038963794081604912	1.0	128	1.0	1.0
10	NCγ	hc1_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	-0.0006337249369826168	-0.0011982143013738096	-0.00020416666264645755	0.03125	256	0.125	0.125
10	NCγ	hc1_dual_interface	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.00164000581699102	-0.004675540437905252	0.00024272562351688963	0.19627039627039627	6435	0.2616938616938617	0.39254079254079255
10	NCγ	homotypic_any_neighbour	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.5306432774004951	-0.6970876608598	-0.34070402607465605	0.0004662004662004662	6435	0.0009324009324009324	0.0018648018648018648
10	NCγ	homotypic_any_neighbour	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.11331606249766847	0.08158582875936017	0.1415838027965594	0.015625	128	0.03125	0.020833333333333332
10	NCγ	homotypic_any_neighbour	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	0.03223027991474113	-0.004846168960058929	0.07309008006296842	0.203125	256	0.28125	0.2708333333333333
10	NCγ	homotypic_any_neighbour	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.08108578258292734	-0.12923149228390346	-0.030356514489113914	0.01554001554001554	6435	0.03108003108003108	0.03108003108003108
