gene	component	Ogden_HRC_rho	Spatial_HRC_rho	Bulk_rHGP_minus_dHGP_logFC	Bulk_rHGP_minus_dHGP_PValue	Bulk_rHGP_minus_dHGP_q_junction	Liu_macro_minus_micro_logFC	Liu_macro_minus_micro_PValue	Liu_macro_minus_micro_q_junction	Spatial_HGP_by_localization_logFC	Spatial_HGP_by_localization_PValue	Spatial_HGP_by_localization_q_junction	Spatial_rHGP_minus_dHGP_near_logFC	Spatial_rHGP_minus_dHGP_near_PValue	Spatial_rHGP_minus_dHGP_near_q_junction	Spatial_rHGP_minus_dHGP_tumour_logFC	Spatial_rHGP_minus_dHGP_tumour_PValue	Spatial_rHGP_minus_dHGP_tumour_q_junction	GATA6_KO_RNA_logFC	GATA6_promoter_peak	H3K27ac_relative_logFC	Epithelial_detection	Hepatocyte_detection	Endothelial_detection	Stromal_detection	Same_section_macro_minus_micro_logFC
CLDN11	Claudin	-0.0007136832945068	0.0092274026540845	1.74376352526156	0.020102513201166	0.422152777224487	-0.455726001171001	0.253618343160582	0.304342011792698	0.474224673753616	0.312568699031165	0.807025490720444	2.50590965437407	0.0745619067186587	0.284740358539491	2.31020807954199	0.11940908125215	0.437833297924551		0.0		0.0181443773606682	0.0054834054834054	0.0290469213868509	0.0908664903444314	0.0871436337361001
CLDN12	Claudin	0.0394379765003342	0.0702052315666532	0.0349973919746762	0.932361270901318	0.97947827791063	0.622014831716511	0.0010662841925871	0.0127954103110455	-0.1311908075295	0.403512745360222	0.807025490720444	0.146039472815723	0.763633536888006	0.935063511850018	0.230823708727275	0.616040265483694	0.797228578861251	-0.548172575475514	0.0	-0.3353244004065674	0.2593746978247996	0.1759102654451491	0.0512824940404716	0.132325433292345	0.628834320825638
CLDN14	Claudin	0.0077528841209942	-0.0100488602757609				-0.716322052002405	0.0319365479040313	0.0766477149696751	0.43568162214233	0.374404897610767	0.807025490720444	3.76153569696845	0.0068128532131768	0.105488427534251	3.58762037676594	0.0099851108038751	0.109836218842626		0.0	0.126464393600461	0.0062040047502872	0.1210111916507264	0.0635182155576587	0.0058420337832102	-0.857955921338491
CLDN15	Claudin	0.0026021439331522	0.0369545368706881	0.649486583232117	0.309517612099205	0.685527199083343	-0.0767556198028153	0.742327610257587	0.774602723747047	-0.0939192791696118	0.697784176974976	0.935302971151041	0.518160760883967	0.426659070129418	0.896760021775318	0.57476570837074	0.375014261640383	0.739600601073864	-3.62651609041598	0.0	-0.6362783088277624	0.1217936779227411	0.0686424041075203	0.0458638425510576	0.0318580623212975	-0.208397900454877
CLDN16	Claudin	0.0065583525969711	-0.0243530644379805	0.0144004396253069	0.97947827791063	0.97947827791063	-0.475605421764864	0.107952834801724	0.185062002517242	0.669160100599043	0.20344418306562	0.745962004573941	0.224564344689192	0.788477774504472	0.935063511850018	-0.143172660736568	0.870069131061145	0.91150099444501		0.0		0.047799463481769	0.0451474881707439	0.0034722222222222	0.0082457415398591	-0.509637423854867
CLDN17	Claudin		-0.0035640997914295																	0.0		0.0	0.0	0.0	0.0	
CLDN18	Claudin	0.0178144741150687	0.0043499834125469																	0.0		0.0341014689276371	0.0162614517265679	0.0021929824561403	0.0412616429454664	
CLDN19	Claudin		-0.0077718514281841																	0.0		0.0006644566444408	0.0	0.0021929824561403	0.0	
CLDN20	Claudin	-0.0061061161861378	-0.0018377302850982																	0.0		0.0382031122352154	0.0281783784690761	0.0095595970544167	0.0210567101192101	
CLDN22	Claudin		-0.0068922132383417	0.705798111528118	0.124063038172234	0.685527199083343																0.0001474926253687	0.0007575757575757	0.0	0.0	
