gene	retained
AQP11	TRUE
AQP12A	FALSE
AQP2	TRUE
AQP3	TRUE
AQP4	TRUE
AQP5	TRUE
AQP6	TRUE
AQP7	TRUE
AQP8	FALSE
AQP9	TRUE
AQR	TRUE
AR	TRUE
ARAF	TRUE
ARAP1	TRUE
ARAP2	TRUE
ARAP3	TRUE
ARC	TRUE
ARCN1	TRUE
AREG	TRUE
AREL1	TRUE
ARF1	TRUE
ARF3	TRUE
ARF4	TRUE
ARF5	TRUE
ARFGAP1	TRUE
ARFGAP2	TRUE
ARFGAP3	TRUE
ARFGEF1	TRUE
ARFGEF2	TRUE
ARFGEF3	TRUE
ARFIP1	TRUE
ARFIP2	TRUE
ARFRP1	TRUE
ARG1	TRUE
ARG2	TRUE
ARGLU1	TRUE
ARHGAP10	TRUE
ARHGAP11A	TRUE
ARHGAP12	TRUE
ARHGAP15	TRUE
ARHGAP17	TRUE
ARHGAP18	TRUE
ARHGAP19	TRUE
ARHGAP20	TRUE
ARHGAP21	TRUE
ARHGAP22	TRUE
ARHGAP23	TRUE
ARHGAP24	TRUE
ARHGAP25	TRUE
ARHGAP26	TRUE
ARHGAP28	TRUE
ARHGAP29	TRUE
ARHGAP30	TRUE
ARHGAP31	TRUE
ARHGAP32	TRUE
ARHGAP33	TRUE
ARHGAP35	TRUE
ARHGAP36	FALSE
ARHGAP39	TRUE
ARHGAP4	TRUE
ARHGAP40	TRUE
ARHGAP42	TRUE
ARHGAP44	TRUE
ARHGAP45	TRUE
ARHGAP5	TRUE
ARHGAP6	TRUE
ARHGAP8	TRUE
ARHGAP9	TRUE
ARHGDIA	TRUE
ARHGDIB	TRUE
ARHGDIG	TRUE
ARHGEF1	TRUE
ARHGEF10	TRUE
ARHGEF10L	TRUE
ARHGEF11	TRUE
ARHGEF12	TRUE
ARHGEF15	TRUE
ARHGEF16	TRUE
ARHGEF17	TRUE
ARHGEF18	TRUE
ARHGEF19	TRUE
ARHGEF2	TRUE
ARHGEF25	TRUE
ARHGEF26	TRUE
ARHGEF28	TRUE
ARHGEF3	TRUE
ARHGEF33	TRUE
ARHGEF35	TRUE
ARHGEF37	TRUE
ARHGEF38	TRUE
ARHGEF39	TRUE
ARHGEF4	TRUE
ARHGEF40	TRUE
ARHGEF5	TRUE
ARHGEF6	TRUE
ARHGEF7	TRUE
ARHGEF9	TRUE
ARID1A	TRUE
ARID1B	TRUE
ARID2	TRUE
