scoring	model	endpoint	k	n_patients	estimate	se	low	high	p	tau2	I2	Q	Q_p	df	q_member_family
"target_mean"	"common"	"CLDN14"	3	19	-0.0257775762159303	0.0127754288651424	-0.0807458100962555	0.029190657664395	0.181109714968994	6.03272146026808e-05	9.22619120086515	2.51753406336466	0.284003978623232	2	0.28596270784578
"target_mean"	"common"	"CLDN15"	5	28	0.00339472394540177	0.0135410667653082	-0.0342013045942948	0.0409907524850983	0.814398170722029	0.000636622303757161	68.5079517576071	14.5851338441903	0.00564374537610975	4	0.977277804866435
"target_mean"	"common"	"CLDN16"	4	23	-0.00311425763293197	0.0051883573362967	-0.019625926268321	0.0133974110024571	0.590660797975733	8.7633734367951e-06	3.97133262310176	2.40441975920563	0.49281241622044	3	0.770427127794434
"target_mean"	"common"	"CLDN17"	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"target_mean"	"common"	"CLDN18"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"target_mean"	"common"	"CLDN19"	2	5	0.00314492037619197	0.0175208517322084	-0.21947860888541	0.225768449637794	0.886933413770065	0.00046751135525045	70.2892079681239	3.36578034987125	0.0665640415601146	1	1
"target_mean"	"common"	"CLDN2"	5	23	-0.0543938207751873	0.0238912702753111	-0.120726621188032	0.0119389796376576	0.0850936090017715	0.000830846639226828	46.4413901327497	8.29731192071659	0.0812747199656397	4	0.159550516878322
"target_mean"	"common"	"CLDN20"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"target_mean"	"common"	"CLDN22"	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"target_mean"	"common"	"CLDN23"	4	23	0.0442960651675302	0.0112822948321468	0.00839076766384316	0.0802013626712172	0.0294048975018414	0	0	2.31815861067377	0.509051127873099	3	0.0681422884432489
"target_mean"	"common"	"CLDN3"	5	28	0.142554083021633	0.0280122010007561	0.0647797446672666	0.220328421375999	0.00703636587638014	0.00231436755372753	58.9751377661452	10.0076036938634	0.0402997933749879	4	0.0351818293819007
"target_mean"	"common"	"CLDN4"	5	28	0.192200363664591	0.0510022411957222	0.0505954407426106	0.333805286586571	0.0196304457827572	0.0100555831235207	76.4077891722499	17.8297250800073	0.00133232779876655	4	0.0535375794075197
"target_mean"	"common"	"CLDN5"	3	13	-0.00652465739077686	0.00426296997280116	-0.0248667367810898	0.011817421999536	0.265532669215788	0	0	1.1165849770145	0.572185243071543	2	0.379332384593982
"target_mean"	"common"	"CLDN6"	4	17	0.0114346429489453	0.00403649236433892	-0.00141127726225103	0.0242805631601416	0.0660361341154748	2.92187460652423e-05	21.2972851863899	2.44309205423255	0.485663461019998	3	0.13207226823095
"target_mean"	"common"	"CLDN7"	5	28	0.181217248067128	0.031259935804941	0.0944257523127026	0.268008743821554	0.00440265211963182	0.000973773077399945	28.1619918884763	6.96037342608151	0.137997185292473	4	0.0304016503720378
"target_mean"	"common"	"CLDN8"	2	6	-0.00820773165441659	0.0151546441043394	-0.200765742348016	0.184350279039183	0.684001040635971	0	0	0.449521338937306	0.502562350538897	1	0.855001300794963
"target_mean"	"common"	"CLDN9"	4	22	0.0411309840746589	0.0179003203122214	-0.0158358241663651	0.0980977923156828	0.105202414709332	0.000993781934826484	83.8448651023965	25.6881007282989	1.10846045348674e-05	3	0.175531503863368
"target_mean"	"common"	"CRB3"	5	28	0.0622102099513448	0.00767204143339466	0.0409092080667215	0.0835112118359681	0.00125761796092522	0	0	2.49737255015932	0.645106340277324	4	0.0207145747992474
"target_mean"	"common"	"F11R"	5	28	0.124266822503402	0.0157067862327541	0.0806577927490844	0.167875852257721	0.00138097165328316	0.000513073408867818	35.4014646927521	5.41990624483042	0.246860005757531	4	0.0207145747992474
"target_mean"	"common"	"PALS1"	5	28	0.0364920617812889	0.0080893715068426	0.0140323658569893	0.0589517577055886	0.0107309299308879	3.74371112948216e-05	8.63299482096458	3.71456270127846	0.446011405423068	4	0.0431620599107115
"target_mean"	"common"	"PARD3"	5	28	0.0218490028111195	0.0104746660645423	-0.00723333251236045	0.0509313381345994	0.105318902318021	0	0	5.97486249791966	0.201033438786528	4	0.175531503863368
"target_mean"	"common"	"PARD6A"	5	27	-0.0235728293594286	0.0173583495175527	-0.0717673339117502	0.0246216751928929	0.246011568667904	0.00125324178046989	85.4438017323892	23.2159228795591	0.000114649264361933	4	0.369017353001855
"target_mean"	"common"	"PARD6B"	5	28	0.103183988641513	0.0311305498723764	0.0167517258262375	0.189616251456788	0.0295283249920745	0.00375425750382191	78.4374537295773	18.5544715268773	0.000961222703739612	4	0.0681422884432489
"target_mean"	"common"	"PARD6G"	3	17	-0.0113147168008832	0.00909491512964819	-0.0504469782103036	0.0278175446085373	0.339502960408226	0.000169745855979261	54.4476595383487	4.4430285195746	0.108444770875506	2	0.462958582374853
"target_mean"	"common"	"PATJ"	5	28	0.049318866253186	0.0126947062659687	0.0140727111791134	0.0845650213272586	0.017765832328292	2.03950155903425e-05	4.43213262408226	8.36752196472172	0.0790061065681464	4	0.053297496984876
"target_mean"	"common"	"PRKCI"	5	28	0.0603010289336196	0.0136424172008471	0.0224236064732614	0.0981784513939777	0.0115098826428564	0.000512190695665235	50.6178755474755	8.14851250692128	0.0862870033856187	4	0.0431620599107115
