study	patient	scoring	model	n_cells	n_samples	gene	rho	z
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	CLDN6	-0.04165065847262883	-0.041674768445863625
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	CLDN7	0.20388762784340778	0.2067854711126871
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	CLDN8	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	CLDN9	0.078418018777731	0.07857935535017302
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	CRB3	0.04253988133464742	0.04256556987759908
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	F11R	0.565819377457895	0.6413519506698268
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	PALS1	0.16099492716818903	0.16240792979589716
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	PARD3	-0.01579099872429998	-0.015792311445574376
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	PARD6A	-0.14821778199251245	-0.1493176914842574
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	PARD6B	0.1570184044522735	0.15832825422007607
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	PARD6G	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	PATJ	0.21556655221510723	0.21900190528130656
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	PRKCI	0.10995915775685228	0.11040557349084151
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	CLDN1	0.08949636200356485	0.08973646023669989
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	CLDN10	-0.009336212471193268	-0.00933648374860888
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	CLDN11	NA	NA
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	CLDN12	0.06581021165828219	0.06590546696760306
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	CLDN14	-0.06118699156512894	-0.06126352181343564
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	CLDN15	-0.11287206311929433	-0.11335509474364087
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	CLDN16	0.009803920327703778	0.009804234453145202
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	CLDN17	NA	NA
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	CLDN18	NA	NA
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	CLDN19	-0.02284774395321717	-0.022851720854128343
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	CLDN2	-0.09494044340746677	-0.09522725063251178
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	CLDN20	NA	NA
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	CLDN22	NA	NA
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	CLDN23	0.019429449094063727	0.01943189454294778
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	CLDN3	0.2995206902759036	0.30899297338703957
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	CLDN4	0.23718205997642866	0.24178607405276517
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	CLDN5	NA	NA
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	CLDN6	NA	NA
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	CLDN7	0.14246729695284766	0.14344309113509932
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	CLDN8	NA	NA
