study	patient	scoring	model	n_cells	n_samples	design_columns	design_rank	residual_df	finite_comparison	covariates
Wang_2023_Sci_Adv	Wang_2023_Sci_Adv.P0813	fixed_background	common	3124	2	7	7	3117	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;sample_Wang_2023_CD45Pos.LM0813
Wang_2023_Sci_Adv	Wang_2023_Sci_Adv.P0920	fixed_background	common	9962	2	7	7	9955	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;sample_Wang_2023_CD45Pos.LM0920
Wang_2023_Sci_Adv	Wang_2023_Sci_Adv.P1231	fixed_background	common	286	1	6	6	280	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL07	target_mean	common	1872	1	6	6	1866	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	target_mean	common	294	1	6	6	288	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	target_mean	common	1265	1	6	6	1259	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	target_mean	common	251	1	6	6	245	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	target_mean	common	262	1	6	6	256	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	target_mean	common	806	2	7	7	799	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;sample_Giguelay_2022_EPCAM_Pos.19G00081
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	target_mean	common	530	2	7	7	523	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;sample_Giguelay_2022_EPCAM_Pos.19G00619
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	target_mean	common	550	1	6	6	544	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P4	target_mean	common	1519	4	9	9	1510	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;sample_Giguelay_2022_CAF.19G02977B;sample_Giguelay_2022_EPCAM_Pos.19G02977A;sample_Giguelay_2022_EPCAM_Pos.19G02977B
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt01	target_mean	common	2830	1	6	6	2824	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt02	target_mean	common	2225	1	6	6	2219	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt03	target_mean	common	2377	1	6	6	2371	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt04	target_mean	common	3307	1	6	6	3301	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt05	target_mean	common	438	2	7	7	431	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;sample_Liu_2024_mixCD45PosCD45Neg.Pt05_T3
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt06	target_mean	common	1169	2	7	7	1162	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;sample_Liu_2024_mixCD45PosCD45Neg.Pt06_T3
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt07	target_mean	common	829	1	6	6	823	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt08	target_mean	common	6787	2	7	7	6780	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;sample_Liu_2024_mixCD45PosCD45Neg.Pt08_T4
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt11	target_mean	common	661	1	6	6	655	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt15	target_mean	common	5121	1	6	6	5115	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt17	target_mean	common	187	1	6	6	181	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt18	target_mean	common	5609	1	6	6	5603	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Sathe_2023_Clin_Cancer_Res	Sathe_2023_Clin_Cancer_Res.P5915	target_mean	common	1138	1	6	6	1132	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Sathe_2023_Clin_Cancer_Res	Sathe_2023_Clin_Cancer_Res.P6198	target_mean	common	5333	1	6	6	5327	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
