scoring	model	endpoint	study	weight_percent	study_estimate	study_variance
fixed_background	common	PARD6G	Liu_2024_Cancer_Res	79.5704658830859	-0.017572083568964	2.81188688683328e-05
fixed_background	common	PARD6G	Wang_2023_Sci_Adv	9.28828399533373	0.00485990391675726	0.000340841054173612
fixed_background	common	PATJ	Che_2021_Cell_Discov	15.9283758803632	0.122390224497861	0.00133732481967665
fixed_background	common	PATJ	Giguelay_2022_Theranostics	18.850500279744	0.00579394275934187	0.000922542217898993
fixed_background	common	PATJ	Liu_2024_Cancer_Res	28.1471647381641	0.0512574336162395	0.000175773997083663
fixed_background	common	PATJ	Sathe_2023_Clin_Cancer_Res	22.5732578607819	0.0717524581962973	0.000549666724901516
fixed_background	common	PATJ	Wang_2023_Sci_Adv	14.5007012409469	-0.021833892473824	0.00160076678132852
fixed_background	common	PRKCI	Che_2021_Cell_Discov	16.9841117573139	0.149454969845078	0.00103873331010044
fixed_background	common	PRKCI	Giguelay_2022_Theranostics	25.3645746911849	0.0288640235077269	0.000272013731357806
fixed_background	common	PRKCI	Liu_2024_Cancer_Res	21.3460104362837	0.0535960949548757	0.000564540478698406
fixed_background	common	PRKCI	Sathe_2023_Clin_Cancer_Res	16.6438543946784	0.0372834634141665	0.00108617386410499
fixed_background	common	PRKCI	Wang_2023_Sci_Adv	19.661448720539	0.0504510513849887	0.000722735809645141
target_mean	common	CLDN1	Che_2021_Cell_Discov	10.0214175096084	0.0594425332295633	0.00134320661225127
target_mean	common	CLDN1	Giguelay_2022_Theranostics	6.75843629414481	0.0532414124699155	0.00199170838892105
target_mean	common	CLDN1	Liu_2024_Cancer_Res	72.8488005068171	0.0494214201253323	0.000184777706281891
target_mean	common	CLDN1	Sathe_2023_Clin_Cancer_Res	3.25248800378981	-0.0242333035061384	0.00413862687498066
target_mean	common	CLDN1	Wang_2023_Sci_Adv	7.11885768563985	0.041350684713327	0.00189086997625896
target_mean	common	CLDN10	Che_2021_Cell_Discov	1.36691066504815	-0.149815753313141	0.0195440706143168
target_mean	common	CLDN10	Giguelay_2022_Theranostics	26.5140531723415	-0.0411310930763106	0.00100757882574633
target_mean	common	CLDN10	Liu_2024_Cancer_Res	66.5020782892232	-0.0588189196271448	0.000401716747031242
target_mean	common	CLDN10	Wang_2023_Sci_Adv	5.61695787338711	-0.120164784968176	0.00475613297506434
target_mean	common	CLDN11	Giguelay_2022_Theranostics	2.0482586209048	-0.0152400965520369	0.00126163215038771
target_mean	common	CLDN11	Liu_2024_Cancer_Res	95.5261146354018	-0.0219547960947738	2.70517537356702e-05
target_mean	common	CLDN11	Wang_2023_Sci_Adv	2.42562674369341	0.0153761084676364	0.0010653530825223
target_mean	common	CLDN12	Che_2021_Cell_Discov	2.04510354268185	0.0743957404483076	0.00218961772347492
target_mean	common	CLDN12	Giguelay_2022_Theranostics	19.4679609816517	0.0608988241229314	0.000230018694182612
target_mean	common	CLDN12	Liu_2024_Cancer_Res	39.4034549925237	0.0380032656857923	0.000113644728977375
