study	scoring	model	gene	n_patients	estimate	variance	low	high	p_signflip	n_positive
Giguelay_2022_Theranostics	target_mean	common	PARD3	4	0.00953530768941352	0.00043866228411180763	-0.027704765285110643	0.04598196743727274	0.625	3.0
Giguelay_2022_Theranostics	target_mean	common	PARD6A	4	-0.022548619434657954	0.00010857440236757487	-0.040009851408532096	-0.005125559947673014	0.25	1.0
Giguelay_2022_Theranostics	target_mean	common	PARD6B	4	0.015988244081648718	0.0004665768900524568	-0.012811403773133608	0.05740251349543951	0.75	2.0
Giguelay_2022_Theranostics	target_mean	common	PARD6G	4	0.0006091007187548729	0.00023173726970214536	-0.02887353058809651	0.02160259299921463	1.0	3.0
Giguelay_2022_Theranostics	target_mean	common	PATJ	4	0.025643475928038728	0.0005124648652758771	-0.011825411943462833	0.06311236379954029	0.375	3.0
Giguelay_2022_Theranostics	target_mean	common	PRKCI	4	0.03523124177946999	0.00024660416341370047	0.009125550325059444	0.06545418201208791	0.125	4.0
Liu_2024_Cancer_Res	fixed_background	common	CLDN1	12	0.059834682068464706	0.00020372242875475757	0.0324613330505624	0.08612437400360616	0.0029296875	11.0
Liu_2024_Cancer_Res	fixed_background	common	CLDN10	12	-0.05198224210947138	0.0006323966239613273	-0.10458536197334573	-0.011941546980079976	0.025390625	1.0
Liu_2024_Cancer_Res	fixed_background	common	CLDN11	11	-0.023139949539438497	0.00011168953437803445	-0.046023468218779603	-0.007463992766142634	0.0107421875	2.0
Liu_2024_Cancer_Res	fixed_background	common	CLDN12	12	0.047857224503501265	0.0002077665819006371	0.02323872200750683	0.0771127205584249	0.0009765625	11.0
Liu_2024_Cancer_Res	fixed_background	common	CLDN14	11	-0.016280080220502726	0.00017241534717262272	-0.04411759319253738	0.0015502466795953816	0.193359375	4.0
Liu_2024_Cancer_Res	fixed_background	common	CLDN15	12	-0.0245700282553824	0.0002561672779367421	-0.05122959832290182	0.007510888904828973	0.15673828125	3.0
Liu_2024_Cancer_Res	fixed_background	common	CLDN16	12	0.0003291534905778485	5.044022337370564e-05	-0.014294965339246356	0.012463378729825355	0.9677734375	5.0
Liu_2024_Cancer_Res	fixed_background	common	CLDN17	0	NA	NA	NA	NA	NA	NA
Liu_2024_Cancer_Res	fixed_background	common	CLDN18	0	NA	NA	NA	NA	NA	NA
Liu_2024_Cancer_Res	fixed_background	common	CLDN19	1	0.0032941124817699595	NA	NA	NA	NA	1.0
Liu_2024_Cancer_Res	fixed_background	common	CLDN2	11	-0.02211933235674016	0.00025825904096020457	-0.05647607547877541	0.0042680154709366	0.1923828125	4.0
Liu_2024_Cancer_Res	fixed_background	common	CLDN20	4	-0.006199212404373996	7.949387559404599e-05	-0.021669289842737936	0.008069429427945883	0.625	1.0
Liu_2024_Cancer_Res	fixed_background	common	CLDN22	1	0.00843658515190809	NA	NA	NA	NA	1.0
Liu_2024_Cancer_Res	fixed_background	common	CLDN23	12	0.0421832726859172	0.0003492018014480081	0.009431947955204916	0.07805334271763348	0.041015625	9.0
Liu_2024_Cancer_Res	fixed_background	common	CLDN3	12	0.1133502389563432	0.0009458349020700085	0.05335766682681721	0.16565014757617713	0.00537109375	11.0
Liu_2024_Cancer_Res	fixed_background	common	CLDN4	12	0.1514749829884485	0.0008602485817615144	0.0932951615833896	0.20291089506672663	0.00146484375	11.0
Liu_2024_Cancer_Res	fixed_background	common	CLDN5	7	-0.012655261962465247	0.00012026053843148565	-0.03491828307144347	0.003624782027455279	0.3125	3.0
Liu_2024_Cancer_Res	fixed_background	common	CLDN6	8	0.014428376379548325	0.00013194063231657666	-0.0019318788579768295	0.038253862666544375	0.234375	6.0
Liu_2024_Cancer_Res	fixed_background	common	CLDN7	12	0.1631263563734717	0.0011806384226945021	0.10598697052760195	0.23306728495594087	0.00048828125	12.0
Liu_2024_Cancer_Res	fixed_background	common	CLDN8	1	0.017184952770682802	NA	NA	NA	NA	1.0
Liu_2024_Cancer_Res	fixed_background	common	CLDN9	11	0.016194245916165834	8.293867708482142e-05	-0.002716748594989953	0.030888741031538266	0.1044921875	10.0
Liu_2024_Cancer_Res	fixed_background	common	CRB3	12	0.055797203963998517	0.0003034169657642461	0.022174891813149876	0.08711210278696702	0.009765625	11.0
Liu_2024_Cancer_Res	fixed_background	common	F11R	12	0.15179140999813986	0.0006004470650675509	0.10808294738074052	0.19957682617553524	0.00048828125	12.0
Liu_2024_Cancer_Res	fixed_background	common	PALS1	12	0.02812285009024434	0.00016352639630729272	0.007584882669140201	0.054819202963646604	0.0166015625	10.0
Liu_2024_Cancer_Res	fixed_background	common	PARD3	12	0.034879453700677444	0.0003209692263983558	0.00037340142548275605	0.06703231116756424	0.07861328125	10.0
Liu_2024_Cancer_Res	fixed_background	common	PARD6A	12	-0.020836266796595476	0.0001299506579160445	-0.038994118889388564	0.0029658939358277493	0.09619140625	1.0
Liu_2024_Cancer_Res	fixed_background	common	PARD6B	12	0.10893453912365532	0.0004678622793493483	0.07066574263815487	0.15179376450090648	0.00048828125	12.0
Liu_2024_Cancer_Res	fixed_background	common	PARD6G	11	-0.01757208356896398	2.8118868868332775e-05	-0.026413861091184744	-0.006819387402115545	0.0126953125	2.0
Liu_2024_Cancer_Res	fixed_background	common	PATJ	12	0.05125743361623949	0.00017577399708366279	0.02585798909532534	0.07570664529428656	0.0029296875	10.0
Liu_2024_Cancer_Res	fixed_background	common	PRKCI	12	0.05359609495487571	0.000564540478698406	0.017660952178380873	0.10427183278064278	0.00634765625	11.0
Liu_2024_Cancer_Res	target_mean	common	CLDN1	12	0.04942142012533232	0.00018477770628189114	0.024276564575670394	0.07475904904068081	0.0068359375	10.0
Liu_2024_Cancer_Res	target_mean	common	CLDN10	12	-0.05881891962714475	0.00040171674703124187	-0.09857367924888033	-0.024753904822031388	0.00634765625	1.0
Liu_2024_Cancer_Res	target_mean	common	CLDN11	11	-0.021954796094773795	2.7051753735670224e-05	-0.032012337956166974	-0.012546334988016645	0.0009765625	0.0
Liu_2024_Cancer_Res	target_mean	common	CLDN12	12	0.03800326568579226	0.00011364472897737477	0.018766698963620314	0.058768169466493214	0.00439453125	11.0
Liu_2024_Cancer_Res	target_mean	common	CLDN14	11	-0.01775629078506163	0.00013159621915479882	-0.04206285131862303	-0.0019020931787342898	0.0478515625	4.0
Liu_2024_Cancer_Res	target_mean	common	CLDN15	12	-0.012113771725875884	0.00015058870548571556	-0.03276846861965339	0.012036343701542475	0.33935546875	4.0
Liu_2024_Cancer_Res	target_mean	common	CLDN16	12	0.0008024088145634432	4.1939520846498126e-05	-0.012112872426042174	0.011889490395968592	0.90673828125	6.0
Liu_2024_Cancer_Res	target_mean	common	CLDN17	0	NA	NA	NA	NA	NA	NA
Liu_2024_Cancer_Res	target_mean	common	CLDN18	0	NA	NA	NA	NA	NA	NA
Liu_2024_Cancer_Res	target_mean	common	CLDN19	1	-0.00900680299307668	NA	NA	NA	NA	0.0
Liu_2024_Cancer_Res	target_mean	common	CLDN2	11	-0.027915547278143656	0.00022253978506183027	-0.05744001104837099	-0.002662230925304126	0.0732421875	3.0
Liu_2024_Cancer_Res	target_mean	common	CLDN20	4	-0.00990380022627645	2.2625990551695055e-05	-0.017605054045331456	-0.002202546407221443	0.25	1.0
Liu_2024_Cancer_Res	target_mean	common	CLDN22	1	0.006485682639668006	NA	NA	NA	NA	1.0
Liu_2024_Cancer_Res	target_mean	common	CLDN23	12	0.03826694617713619	0.0003049418470911142	0.007902555795857719	0.07329346705024639	0.04443359375	10.0
Liu_2024_Cancer_Res	target_mean	common	CLDN3	12	0.10758853311580895	0.0009837615071056978	0.04427067836316251	0.16060067784642962	0.0087890625	11.0
Liu_2024_Cancer_Res	target_mean	common	CLDN4	12	0.12889568964851242	0.0009766377678171953	0.06570191633112983	0.18275895549241797	0.00390625	10.0
Liu_2024_Cancer_Res	target_mean	common	CLDN5	7	-0.006039477027787741	4.130606022947161e-05	-0.015504092567201146	0.006726465420560172	0.375	2.0
Liu_2024_Cancer_Res	target_mean	common	CLDN6	8	0.004056417067568107	6.503873947672551e-05	-0.009566519015584066	0.020479311630928657	0.6875	3.0
Liu_2024_Cancer_Res	target_mean	common	CLDN7	12	0.1726782646553007	0.0014774407893848986	0.1132610472373506	0.2535888320885929	0.00048828125	12.0
Liu_2024_Cancer_Res	target_mean	common	CLDN8	1	0.013763141378455522	NA	NA	NA	NA	1.0
Liu_2024_Cancer_Res	target_mean	common	CLDN9	11	0.0041380523775412644	0.00011195724790336904	-0.01806969861218171	0.020819543509843073	0.7431640625	7.0
