study	patient	gene	n_cells	detection_fraction	mean_log_expression
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	CLDN14	1265	0.0015810276679841897	0.0024442917201668024
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	CLDN15	1265	0.18498023715415018	0.12758800387382507
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	CLDN16	1265	0.0308300395256917	0.020794639363884926
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	CLDN17	1265	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	CLDN18	1265	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	CLDN19	1265	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	CLDN2	1265	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	CLDN20	1265	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	CLDN22	1265	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	CLDN23	1265	0.19288537549407114	0.11067065596580505
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	CLDN3	1265	0.932806324110672	2.6820387840270996
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	CLDN4	1265	0.9375494071146245	3.1271989345550537
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	CLDN5	1265	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	CLDN6	1265	0.25138339920948616	0.18220408260822296
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	CLDN7	1265	0.6260869565217392	0.7689273357391357
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	CLDN8	1265	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	CLDN9	1265	0.42371541501976284	0.3191077709197998
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	CRB3	1265	0.2671936758893281	0.15327657759189606
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	F11R	1265	0.2964426877470356	0.18859979510307312
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	PALS1	1265	0.44664031620553357	0.33101528882980347
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	PARD3	1265	0.8316205533596838	0.9881788492202759
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	PARD6A	1265	0.007905138339920948	0.0044885664246976376
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	PARD6B	1265	0.7683794466403162	0.8754612803459167
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	PARD6G	1265	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	PATJ	1265	0.7976284584980237	0.8892334699630737
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	PRKCI	1265	0.6347826086956522	0.5213872790336609
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	CLDN1	251	0.12350597609561753	0.07944127172231674
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	CLDN10	251	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	CLDN11	251	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	CLDN12	251	0.05976095617529881	0.03333016857504845
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	CLDN14	251	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	CLDN15	251	0.250996015936255	0.2607983946800232
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	CLDN16	251	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	CLDN17	251	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	CLDN18	251	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	CLDN19	251	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	CLDN2	251	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	CLDN20	251	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	CLDN22	251	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	CLDN23	251	0.0	0.0
