scope	gene	n	effect	low	high	p	n_positive	loo_min	loo_max	q_genes
REC	CLDN23	5	0.09042026326210703	-0.022244924453738848	0.1909369368302836	0.1875	4.0	0.0461284169458324	0.14126694198842235	0.328125
REC	CLDN3	9	0.1925470173884639	0.1092817802446876	0.27084366599455323	0.0078125	8.0	0.16866430369392416	0.2216353537737456	0.021875
REC	CLDN4	9	0.29000446830844767	0.24786402217563994	0.33094265805481676	0.00390625	9.0	0.27753382355286293	0.3041649323557296	0.013671875
REC	CLDN5	0	NA	NA	NA	NA	NA	NA	NA	NA
REC	CLDN6	0	NA	NA	NA	NA	NA	NA	NA	NA
REC	CLDN7	9	0.14440543017375468	0.08293302841252388	0.21487147950433308	0.00390625	9.0	0.12044320698784632	0.15902866458504936	0.013671875
REC	CLDN8	0	NA	NA	NA	NA	NA	NA	NA	NA
REC	CLDN9	1	0.12971189771501646	0.12971189771501646	0.12971189771501646	NA	1.0	NA	NA	NA
REC	CRB3	7	0.11739637321514719	0.03160214252305049	0.20166078041466085	0.0625	6.0	0.0903743109999458	0.1470717464777709	0.14583333333333334
REC	F11R	9	0.16646027833187116	0.10714947521171445	0.23455717436967666	0.00390625	9.0	0.1388620275455917	0.18351796558798059	0.013671875
REC	PALS1	9	-0.046833183479341796	-0.1038024249566658	0.01012341074506207	0.16796875	3.0	-0.0643158093379048	-0.02774385403868979	0.328125
REC	PARD3	9	0.04611956281109079	-0.036813569723186175	0.1366667666755142	0.359375	5.0	0.017175923916173827	0.06522261215491389	0.41927083333333337
REC	PARD6A	1	0.07719092874436873	0.07719092874436873	0.07719092874436873	NA	1.0	NA	NA	NA
REC	PARD6B	9	0.21808226990375879	0.15394613705126284	0.28193911820026696	0.00390625	9.0	0.19493020333455474	0.23973707830106056	0.013671875
REC	PARD6G	0	NA	NA	NA	NA	NA	NA	NA	NA
REC	PATJ	9	-0.0513888169693387	-0.14691830663132935	0.04118999411305946	0.34375	3.0	-0.0786378983752357	-0.01850320420199986	0.41927083333333337
REC	PRKCI	9	0.04799938874450034	-0.021308683277699754	0.11836654960186943	0.23828125	5.0	0.027727414955713556	0.06643314614761094	0.35
