component	gene	role	source_gene	measured
Junction	AC006111.1	control	AC006111.1	True
Junction	AC136616.3	control	AC136616.3	True
Junction	GOLGA8S	control	GOLGA8S	True
Junction	AC004692.2	control	AC004692.2	True
Junction	LINC02200	control	LINC02200	True
Junction	LINC01497	control	LINC01497	True
Junction	LINC02218	control	LINC02218	True
Junction	AL355337.1	control	AL355337.1	True
Junction	AP000802.1	control	AP000802.1	True
Junction	AL360267.1	control	AL360267.1	True
Junction	AC004448.3	control	AC004448.3	True
Junction	KCND3-AS1	control	KCND3-AS1	True
Junction	RASA3-IT1	control	RASA3-IT1	True
Junction	AL121885.1	control	AL121885.1	True
Junction	XIRP1	control	XIRP1	True
Junction	AC093536.2	control	AC093536.2	True
Junction	AF106564.1	control	AF106564.1	True
Junction	AC063977.3	control	AC063977.3	True
Junction	TAS2R40	control	TAS2R40	True
Junction	MYOC	control	MYOC	True
Junction	AF131215.7	control	AF131215.7	True
Junction	AL122010.1	control	AL122010.1	True
Junction	AL359502.1	control	AL359502.1	True
Junction	AC127029.2	control	AC127029.2	True
Junction	LINC02633	control	LINC02633	True
Junction	AC090844.3	control	AC090844.3	True
Junction	AL035250.1	control	AL035250.1	True
Junction	SRY	control	SRY	True
Junction	AL355997.1	control	AL355997.1	True
Junction	AL590787.1	control	AL590787.1	True
Junction	AC242022.2	control	AC242022.2	True
Junction	CTLA4	control	CTLA4	True
Junction	AC023908.1	control	AC023908.1	True
Junction	AC104024.1	control	AC104024.1	True
Junction	AC116337.4	control	AC116337.4	True
Junction	LINC01441	control	LINC01441	True
Junction	Z86062.2	control	Z86062.2	True
Junction	IRF4	control	IRF4	True
Junction	AC068870.1	control	AC068870.1	True
Junction	AL590640.1	control	AL590640.1	True
Junction	AL606516.1	control	AL606516.1	True
Junction	AC026725.1	control	AC026725.1	True
Junction	AC133785.1	control	AC133785.1	True
Junction	AC016245.2	control	AC016245.2	True
Junction	AL353072.2	control	AL353072.2	True
Junction	SEC14L3	control	SEC14L3	True
Junction	AC055840.1	control	AC055840.1	True
Junction	RAB7B	control	RAB7B	True
Junction	LINC01249	control	LINC01249	True
Junction	FGR	control	FGR	True
Junction	NOG	control	NOG	True
Junction	AL354977.1	control	AL354977.1	True
Junction	AC108174.1	control	AC108174.1	True
Junction	AC021242.2	control	AC021242.2	True
Junction	SH3RF3-AS1	control	SH3RF3-AS1	True
Junction	ZNF534	control	ZNF534	True
Junction	AC008403.2	control	AC008403.2	True
Junction	AC240565.2	control	AC240565.2	True
Junction	AC136475.5	control	AC136475.5	True
Junction	DSG1	control	DSG1	True
Junction	CHI3L2	control	CHI3L2	True
Junction	SLC7A13	control	SLC7A13	True
Junction	LINC02064	control	LINC02064	True
Junction	LSINCT5	control	LSINCT5	True
Junction	SYCE3	control	SYCE3	True
Junction	AC007003.1	control	AC007003.1	True
Junction	AC073325.1	control	AC073325.1	True
Junction	DPYSL5	control	DPYSL5	True
Junction	AC022558.3	control	AC022558.3	True
Junction	ACOT6	control	ACOT6	True
Junction	LINC02788	control	LINC02788	True
Junction	AC091736.1	control	AC091736.1	True
Junction	MSTN	control	MSTN	True
Junction	AC007132.1	control	AC007132.1	True
Junction	AC116099.1	control	AC116099.1	True
Junction	AL138927.1	control	AL138927.1	True
Junction	ERAS	control	ERAS	True
Junction	AC113139.1	control	AC113139.1	True
Junction	LGALS8-AS1	control	LGALS8-AS1	True
Junction	AC007541.1	control	AC007541.1	True
Junction	AC105020.6	control	AC105020.6	True
Junction	AC007292.1	control	AC007292.1	True
Junction	UBE2L5	control	UBE2L5	True
Junction	C17ORF64	control	C17orf64	True
Junction	APLP1	control	APLP1	True
Junction	AL137127.1	control	AL137127.1	True
Junction	LEF1-AS1	control	LEF1-AS1	True
Junction	AL391834.1	control	AL391834.1	True
Junction	AC003965.1	control	AC003965.1	True
Junction	AL731566.3	control	AL731566.3	True
Junction	AC091180.2	control	AC091180.2	True
Junction	FAM72B	control	FAM72B	True
Junction	AC091214.1	control	AC091214.1	True
Junction	FAM167A	control	FAM167A	True
Junction	AL031768.1	control	AL031768.1	True
Junction	AL135936.1	control	AL135936.1	True
Junction	AL442067.2	control	AL442067.2	True
Junction	ORM2	control	ORM2	True
Junction	VWA5B2	control	VWA5B2	True
Junction	PARVG	control	PARVG	True
Junction	AC007091.1	control	AC007091.1	True
Junction	AL357522.1	control	AL357522.1	True
Junction	HTR3E	control	HTR3E	True
Junction	LRRTM3	control	LRRTM3	True
Junction	AC104463.2	control	AC104463.2	True
Junction	ACAP2-IT1	control	ACAP2-IT1	True
Junction	AC007950.2	control	AC007950.2	True
Junction	RSF1-IT2	control	RSF1-IT2	True
Junction	AP003174.1	control	AP003174.1	True
Junction	AP002852.1	control	AP002852.1	True
Junction	AL139317.3	control	AL139317.3	True
Junction	PLEKHG4B	control	PLEKHG4B	True
Junction	KCNU1	control	KCNU1	True
Junction	TM4SF19	control	TM4SF19	True
Junction	FITM1	control	FITM1	True
Junction	SUSD2	control	SUSD2	True
Junction	MCAM	control	MCAM	True
Junction	ZNF222	control	ZNF222	True
Junction	TRPV6	control	TRPV6	True
Junction	LINGO2	control	LINGO2	True
Junction	AL138963.4	control	AL138963.4	True
Junction	ST3GAL6	control	ST3GAL6	True
Junction	CCDC74A	control	CCDC74A	True
Junction	ABHD1	control	ABHD1	True
Junction	AC051619.4	control	AC051619.4	True
Junction	RBM24	control	RBM24	True
Junction	OPCML	control	OPCML	True
Junction	SYNGR1	control	SYNGR1	True
Junction	AC009237.14	control	AC009237.14	True
Junction	CHRNB4	control	CHRNB4	True
Junction	AC002076.1	control	AC002076.1	True
Junction	AC006449.3	control	AC006449.3	True
Junction	AC009230.1	control	AC009230.1	True
Junction	AL603840.1	control	AL603840.1	True
Junction	AC104964.1	control	AC104964.1	True
Junction	AC016355.1	control	AC016355.1	True
Junction	LINC01937	control	LINC01937	True
Junction	AL592166.1	control	AL592166.1	True
Junction	SNRK-AS1	control	SNRK-AS1	True
Junction	AC090181.2	control	AC090181.2	True
Junction	LETM2	control	LETM2	True
Junction	LINC02326	control	LINC02326	True
Junction	SPACA9	control	SPACA9	True
Junction	CCDC17	control	CCDC17	True
Junction	GHRL	control	GHRL	True
Junction	AL358472.5	control	AL358472.5	True
Junction	SLC30A10	control	SLC30A10	True
Junction	AC069185.1	control	AC069185.1	True
Junction	ZNF570	control	ZNF570	True
Junction	AC004241.1	control	AC004241.1	True
Junction	POLR2J2	control	POLR2J2	True
Junction	AL109761.1	control	AL109761.1	True
Junction	GCNT4	control	GCNT4	True
Junction	AC006148.1	control	AC006148.1	True
Junction	ZNF837	control	ZNF837	True
Junction	FAM71D	control	FAM71D	True
Junction	MDFIC2	control	MDFIC2	True
Junction	AL136366.1	control	AL136366.1	True
Junction	TTC39A-AS1	control	TTC39A-AS1	True
Junction	AC007611.1	control	AC007611.1	True
Junction	DMRT2	control	DMRT2	True
Junction	AC024941.2	control	AC024941.2	True
Junction	CLMP	control	CLMP	True
Junction	AC009005.1	control	AC009005.1	True
Junction	AC018521.5	control	AC018521.5	True
Junction	AC011483.1	control	AC011483.1	True
Junction	AC018878.1	control	AC018878.1	True
Junction	QRICH2	control	QRICH2	True
Junction	AC019118.2	control	AC019118.2	True
Junction	AC012254.1	control	AC012254.1	True
Junction	UNC5A	control	UNC5A	True
Junction	LINC00294	control	LINC00294	True
Junction	AC067930.8	control	AC067930.8	True
Junction	SCIMP	control	SCIMP	True
Junction	AC063960.2	control	AC063960.2	True
Junction	AL583810.1	control	AL583810.1	True
Junction	DSG2-AS1	control	DSG2-AS1	True
Junction	AC002310.1	control	AC002310.1	True
Junction	AC104532.2	control	AC104532.2	True
Junction	THAP8	control	THAP8	True
Junction	IFIT2	control	IFIT2	True
Junction	AC093227.1	control	AC093227.1	True
Junction	AC092747.4	control	AC092747.4	True
