cell_id	Sample	Growth pattern	Tumor	Tumor front	Region	Clusters	x	y	display_hgp	display_class	is_tumour	display_class_new
33954	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	8960.8	5730.141	dHGP	Non-tumour context	FALSE	Other tissue
33955	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	10202.956	4530.7393	dHGP	Non-tumour context	FALSE	Other tissue
33956	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	5350.7837	9347.676	dHGP	Non-tumour context	FALSE	Other tissue
33957	ENC-P02-S03	EHGP	False	False	Liver	aHSC1	3576.0938	11114.969	dHGP	Non-tumour context	FALSE	Other tissue
33958	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	7290.0835	7400	dHGP	Non-tumour context	FALSE	Other tissue
33959	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	5415.8833	9297.017	dHGP	Non-tumour context	FALSE	Other tissue
33961	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	7673.788	7057.485	dHGP	Non-tumour context	FALSE	Other tissue
33962	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	5567	9230.804	dHGP	Non-tumour context	FALSE	Other tissue
33963	ENC-P02-S03	EHGP	True	False	Tumor	MΦ	309.16	5853.12	dHGP	Tumour-region context	TRUE	Other tissue
33965	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	9209.76	5522.76	dHGP	Non-tumour context	FALSE	Other tissue
33966	ENC-P02-S03	EHGP	False	False	Stroma	CAF1	6702.909	8049.364	dHGP	Non-tumour context	FALSE	Other tissue
33967	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	9474.619	5168.643	dHGP	Non-tumour context	FALSE	Other tissue
33969	ENC-P02-S03	EHGP	False	False	Stroma	NC1	9179.875	5597.625	dHGP	Non-tumour context	FALSE	Other tissue
33971	ENC-P02-S03	EHGP	False	False	Liver	aHSC1	4627.467	10176.533	dHGP	Non-tumour context	FALSE	Other tissue
33975	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	9141.481	5705.6294	dHGP	Non-tumour context	FALSE	Other tissue
33976	ENC-P02-S03	EHGP	False	False	Stroma	CAF1	7733.5	7166	dHGP	Non-tumour context	FALSE	Other tissue
