study	scoring	model	gene	n_patients	estimate	variance	low	high	p_signflip	n_positive	rho
Sathe_2023_Clin_Cancer_Res	fixed_background	common	PARD6A	3	0.0633045410448343	0.0029208650716116	-0.0264224324457761	0.1603637928098833	0.5	2.0	0.06322011280376524
Sathe_2023_Clin_Cancer_Res	fixed_background	common	PARD6B	3	0.1024259682223511	0.003395018724602	0.0038293441660579	0.2055209852363301	0.25	3.0	0.10206927866399797
Sathe_2023_Clin_Cancer_Res	fixed_background	common	PARD6G	1	0.0025567638118028	NA	NA	NA	NA	1.0	0.0025567582405939177
Sathe_2023_Clin_Cancer_Res	fixed_background	common	PATJ	3	0.0717524581962973	0.0005496667249015	0.0252076012093422	0.0999424461202717	0.25	3.0	0.07162957410325693
Sathe_2023_Clin_Cancer_Res	fixed_background	common	PRKCI	3	0.0372834634141664	0.0010861738641049	-0.0131884210927433	0.0992340246640896	0.5	2.0	0.037266197638919765
Wang_2023_Sci_Adv	fixed_background	common	CLDN1	4	0.0659820406580946	0.0016746085857795	0.001562991399864	0.1304010899163252	0.25	3.0	0.06588645332499257
Wang_2023_Sci_Adv	fixed_background	common	CLDN10	4	-0.1282852309344609	0.0061940468789394	-0.2565453731150606	-0.006702494403902	0.25	1.0	-0.12758609853919928
Wang_2023_Sci_Adv	fixed_background	common	CLDN11	4	0.0078870609567243	0.0018046795679442	-0.0592438655119464	0.0902897394469825	1.0	1.0	0.00788689742066392
Wang_2023_Sci_Adv	fixed_background	common	CLDN12	4	0.0027426381933316	0.0004932172778375	-0.0416776566845414	0.0268051882339995	1.0	3.0	0.0027426313165853805
Wang_2023_Sci_Adv	fixed_background	common	CLDN14	4	-0.0718255919123506	0.0012699280720177	-0.1295618207195297	-0.0162089273296349	0.125	0.0	-0.07170233220386504
Wang_2023_Sci_Adv	fixed_background	common	CLDN15	4	-0.0181927682159936	0.0003431147789753	-0.0473552063600764	0.0107489114819058	0.375	1.0	-0.018190761353520917
Wang_2023_Sci_Adv	fixed_background	common	CLDN16	4	-0.014076024749595	9.04977075712326e-05	-0.0309858138377973	0.0038593190920466	0.25	1.0	-0.014075095174686534
Wang_2023_Sci_Adv	fixed_background	common	CLDN17	0	NA	NA	NA	NA	NA	NA	NA
Wang_2023_Sci_Adv	fixed_background	common	CLDN18	3	0.0635468758900644	0.002666531061272	0.0022547182327536	0.1661793891428506	0.25	3.0	0.06346147538678247
Wang_2023_Sci_Adv	fixed_background	common	CLDN19	2	0.0134832244451676	7.572156515564738e-06	0.010731469275178	0.0162349796151573	0.5	2.0	0.013482407433127078
Wang_2023_Sci_Adv	fixed_background	common	CLDN2	4	-0.1513546429045844	0.0037349841448701	-0.2520569621857114	-0.0374592449346474	0.25	1.0	-0.15020938058051558
Wang_2023_Sci_Adv	fixed_background	common	CLDN20	0	NA	NA	NA	NA	NA	NA	NA
Wang_2023_Sci_Adv	fixed_background	common	CLDN22	0	NA	NA	NA	NA	NA	NA	NA
Wang_2023_Sci_Adv	fixed_background	common	CLDN23	4	0.0136868147330929	0.0013366975078693	-0.0520237735957015	0.0651303070774575	0.875	3.0	0.01368596015182303
Wang_2023_Sci_Adv	fixed_background	common	CLDN3	4	0.0662992520979787	0.0081678266678123	-0.1076042120566827	0.1925920318639975	0.5	3.0	0.06620228113079658
Wang_2023_Sci_Adv	fixed_background	common	CLDN4	4	0.1804075225201623	0.0041096322051658	0.063744464484125	0.2820188730690844	0.125	4.0	0.17847543830253645
Wang_2023_Sci_Adv	fixed_background	common	CLDN5	4	-0.018598329955221	0.0003213390927264	-0.0526345554080564	0.0042474565485907	0.5	2.0	-0.01859618587759009
Wang_2023_Sci_Adv	fixed_background	common	CLDN6	3	0.0105976041698397	0.0001398894464891	-0.0129740774389465	0.0241010622389171	0.5	2.0	0.010597207451463047
Wang_2023_Sci_Adv	fixed_background	common	CLDN7	4	0.2673569065266261	0.00998229770987	0.1039412972345583	0.4449916660013108	0.125	4.0	0.26116372271585386
Wang_2023_Sci_Adv	fixed_background	common	CLDN8	4	-0.0139577303210662	0.0003254728991096	-0.0455924074750034	0.0119589083058956	0.625	2.0	-0.013956823984895877
Wang_2023_Sci_Adv	fixed_background	common	CLDN9	4	0.0993524357782704	0.0021500947177839	0.027856059818524	0.1759927403799887	0.125	4.0	0.0990268218252778
Wang_2023_Sci_Adv	fixed_background	common	CRB3	4	0.0593743014226509	0.0011086748424756	0.0042797397363301	0.1198519523794786	0.25	3.0	0.05930462877461932
Wang_2023_Sci_Adv	fixed_background	common	F11R	4	0.1732516595326116	0.0025495750317534	0.0921979689420458	0.2543053501231773	0.125	4.0	0.17153877373658613
Wang_2023_Sci_Adv	fixed_background	common	PALS1	4	0.0585917221526534	0.0007568205152634	0.0098829201803612	0.0995278053632696	0.25	3.0	0.058524765831748156
Wang_2023_Sci_Adv	fixed_background	common	PARD3	4	0.034445823966472	0.0004380382589421	0.0010231276918039	0.0741768431680652	0.25	3.0	0.03443220693597665
Wang_2023_Sci_Adv	fixed_background	common	PARD6A	4	-0.0040679351487751	0.000129648424932	-0.0263761470309328	0.0108860145264993	1.0	3.0	-0.004067912710062665
Wang_2023_Sci_Adv	fixed_background	common	PARD6B	4	0.1485055448675736	0.0041985244131217	0.0635540324779221	0.2723053018058855	0.125	4.0	0.14742338157667753
Wang_2023_Sci_Adv	fixed_background	common	PARD6G	2	0.0048599039167572	0.0003408410541736	-0.0136019771947007	0.0233217850282153	1.0	1.0	0.004859865655636074
Wang_2023_Sci_Adv	fixed_background	common	PATJ	4	-0.0218338924738239	0.0016007667813285	-0.0967775695063244	0.0327585375033216	0.75	2.0	-0.0218304235925143
Wang_2023_Sci_Adv	fixed_background	common	PRKCI	4	0.0504510513849886	0.0007227358096451	0.0048643335828552	0.096037769187122	0.25	3.0	0.05040829042231402
