cell_id	Sample	Growth pattern	Tumor	Tumor front	Region	Clusters	x	y	display_hgp	display_class	is_tumour	display_class_new	in_display_window
384981	REP-P18-S24	RHGP	False	False	Stroma	aHSC1	13428.167	9814.611	rHGP	Non-tumour context	False	Other tissue	True
384982	REP-P18-S24	RHGP	False	False	Portal tissue	aHSC1	9690.357	19918.607	rHGP	Non-tumour context	False	Other tissue	True
384990	REP-P18-S24	RHGP	False	False	Stroma	NC3	4128.0	19685.273	rHGP	Non-tumour context	False	Other tissue	True
384999	REP-P18-S24	RHGP	True	True	Tumor	CAF1	6033.4	15305.134	rHGP	Tumour-region context	True	Other tissue	True
385001	REP-P18-S24	RHGP	False	False	Stroma	CAF3	3337.5454	20982.273	rHGP	Non-tumour context	False	Other tissue	True
385002	REP-P18-S24	RHGP	False	False	Stroma	CAF1	3889.2307	479.5	rHGP	Non-tumour context	False	Other tissue	False
385004	REP-P18-S24	RHGP	True	False	Tumor	MΦ	1986.875	17939.062	rHGP	Tumour-region context	True	Other tissue	True
385006	REP-P18-S24	RHGP	False	False	Stroma	CAF1	139.61539	12206.462	rHGP	Non-tumour context	False	Other tissue	True
385007	REP-P18-S24	RHGP	False	False	Stroma	NC1	6047.5	1929.9375	rHGP	Non-tumour context	False	Other tissue	False
385009	REP-P18-S24	RHGP	False	False	Liver	aHSC1	5504.7295	27140.756	rHGP	Non-tumour context	False	Other tissue	False
385013	REP-P18-S24	RHGP	True	False	Tumor	MΦ	4848.3335	15826.167	rHGP	Tumour-region context	True	Other tissue	True
385014	REP-P18-S24	RHGP	False	False	Portal tissue	aHSC1	6154.0586	26228.295	rHGP	Non-tumour context	False	Other tissue	False
385015	REP-P18-S24	RHGP	False	False	Stroma	MΦ	5614.1816	18495.908	rHGP	Non-tumour context	False	Other tissue	True
385016	REP-P18-S24	RHGP	False	False	Portal tissue	aHSC1	10204.2	19972.36	rHGP	Non-tumour context	False	Other tissue	True
385019	REP-P18-S24	RHGP	False	False	Stroma	CAF2	1735.5	15167.429	rHGP	Non-tumour context	False	Other tissue	True
385021	REP-P18-S24	RHGP	False	False	Liver	aHSC1	10172.0	21950.6	rHGP	Non-tumour context	False	Other tissue	False
385025	REP-P18-S24	RHGP	False	False	Portal tissue	aHSC1	13069.1	11083.2	rHGP	Non-tumour context	False	Other tissue	True
385026	REP-P18-S24	RHGP	False	False	Stroma	CAF2	3976.0715	22790.535	rHGP	Non-tumour context	False	Other tissue	False
385027	REP-P18-S24	RHGP	False	False	Portal tissue	MΦ	9602.0	21172.818	rHGP	Non-tumour context	False	Other tissue	False
385028	REP-P18-S24	RHGP	True	False	Tumor	MΦ	5400.5293	14921.647	rHGP	Tumour-region context	True	Other tissue	True
385030	REP-P18-S24	RHGP	True	False	Tumor	MΦ	5847.2905	11040.613	rHGP	Tumour-region context	True	Other tissue	True
385031	REP-P18-S24	RHGP	False	False	Portal tissue	aHSC1	6359.5356	26105.107	rHGP	Non-tumour context	False	Other tissue	False
385033	REP-P18-S24	RHGP	False	False	Stroma	CAF1	6345.2856	18673.643	rHGP	Non-tumour context	False	Other tissue	True
385037	REP-P18-S24	RHGP	False	False	Stroma	NC1	2727.2942	19266.646	rHGP	Non-tumour context	False	Other tissue	True
385038	REP-P18-S24	RHGP	True	False	Tumor	CAF2	404.2143	19401.785	rHGP	Tumour-region context	True	Other tissue	True
385044	REP-P18-S24	RHGP	False	False	Liver	aHSC1	10947.117	26898.705	rHGP	Non-tumour context	False	Other tissue	False
385049	REP-P18-S24	RHGP	True	False	Tumor	CAF2	6081.2104	8154.3687	rHGP	Tumour-region context	True	Other tissue	True
385054	REP-P18-S24	RHGP	True	False	Tumor	CAF1	3922.2222	15040.777	rHGP	Tumour-region context	True	Other tissue	True
385055	REP-P18-S24	RHGP	True	False	Tumor	MΦ	3678.9375	15052.5	rHGP	Tumour-region context	True	Other tissue	True
385056	REP-P18-S24	RHGP	False	False	Stroma	CAF2	5807.625	18612.375	rHGP	Non-tumour context	False	Other tissue	True
385058	REP-P18-S24	RHGP	False	False	Liver	aHSC1	9998.917	22211.584	rHGP	Non-tumour context	False	Other tissue	False
385060	REP-P18-S24	RHGP	True	False	Tumor	CAF2	3358.923	14901.077	rHGP	Tumour-region context	True	Other tissue	True
385061	REP-P18-S24	RHGP	False	False	Liver	CAF2	11731.375	10267.375	rHGP	Non-tumour context	False	Other tissue	True
385063	REP-P18-S24	RHGP	True	False	Tumor	CAF2	3638.6	13234.467	rHGP	Tumour-region context	True	Other tissue	True
385064	REP-P18-S24	RHGP	False	False	Stroma	NC3	3571.739	20888.174	rHGP	Non-tumour context	False	Other tissue	True
385065	REP-P18-S24	RHGP	False	False	Liver	aHSC1	12387.454	12362.772	rHGP	Non-tumour context	False	Other tissue	True
385067	REP-P18-S24	RHGP	True	False	Tumor	MΦ	3490.0557	13119.167	rHGP	Tumour-region context	True	Other tissue	True
385068	REP-P18-S24	RHGP	False	False	Stroma	CAF3	2262.3333	14728.667	rHGP	Non-tumour context	False	Other tissue	True
385069	REP-P18-S24	RHGP	False	False	Portal tissue	MΦ	12407.75	7573.25	rHGP	Non-tumour context	False	Other tissue	False
385070	REP-P18-S24	RHGP	False	False	Stroma	MΦ	8786.77	13719.385	rHGP	Non-tumour context	False	Other tissue	True
385072	REP-P18-S24	RHGP	True	False	Tumor	MΦ	4307.8125	20276.5	rHGP	Tumour-region context	True	Other tissue	True
385074	REP-P18-S24	RHGP	True	False	Tumor	CAFγ	5270.6055	11637.395	rHGP	Tumour-region context	True	Other tissue	True
