gene	column	status	value
PARD6G	Spatial_rHGP_minus_dHGP_tumour_logFC	estimated	-0.970563312602404
PARD6G	Spatial_rHGP_minus_dHGP_near_logFC	estimated	-0.678461457773561
PARD6G	Liu_macro_minus_micro_logFC	estimated	-1.09581289042267
PARD6G	Same_section_macro_minus_micro_logFC	estimated	-0.68192475439341
PATJ	Ogden_HRC_rho	estimated	0.0347127772669549
PATJ	Spatial_HRC_rho	estimated	0.0447985054787697
PATJ	Bulk_rHGP_minus_dHGP_logFC	not_measured	
PATJ	Spatial_rHGP_minus_dHGP_tumour_logFC	estimated	-0.577783958241215
PATJ	Spatial_rHGP_minus_dHGP_near_logFC	estimated	-0.535570370843549
PATJ	Liu_macro_minus_micro_logFC	estimated	0.401402960099283
PATJ	Same_section_macro_minus_micro_logFC	estimated	0.241345499858902
PRKCI	Ogden_HRC_rho	estimated	0.0284916400167371
PRKCI	Spatial_HRC_rho	estimated	0.0443642625857697
PRKCI	Bulk_rHGP_minus_dHGP_logFC	estimated	-0.400633936954592
PRKCI	Spatial_rHGP_minus_dHGP_tumour_logFC	estimated	0.485802530750085
PRKCI	Spatial_rHGP_minus_dHGP_near_logFC	estimated	0.438906335364519
PRKCI	Liu_macro_minus_micro_logFC	estimated	0.31845190396731
PRKCI	Same_section_macro_minus_micro_logFC	estimated	0.295596883809237
F11R	Ogden_HRC_rho	estimated	0.0817997877716701
F11R	Spatial_HRC_rho	estimated	0.1132410963817701
F11R	Bulk_rHGP_minus_dHGP_logFC	estimated	-0.0841637598152563
F11R	Spatial_rHGP_minus_dHGP_tumour_logFC	estimated	0.248102349746356
F11R	Spatial_rHGP_minus_dHGP_near_logFC	estimated	0.150413521041979
F11R	Liu_macro_minus_micro_logFC	estimated	0.488032697385515
F11R	Same_section_macro_minus_micro_logFC	estimated	0.390549410325864
