rival	method	adjustment	patient	state	n_cells	n_repair_genes	n_junction_genes	rho
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC10	REC	401	78	24	0.3950176796813935
ICMS3_MINUS_ICMS2	matched	technical_only	CRC10	UPR	61	78	24	0.2747223691168693
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC10	UPR	61	78	24	0.2685880486515071
ICMS3_MINUS_ICMS2	matched	technical_only	CRC11	Hypoxia	119	78	24	0.2785073351374448
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC11	Hypoxia	119	78	24	0.2700185158809287
ICMS3_MINUS_ICMS2	matched	technical_only	CRC11	REC	13	78	24	0.2692307692307692
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC11	REC	13	78	24	0.2692307692307692
ICMS3_MINUS_ICMS2	matched	technical_only	CRC11	UPR	35	78	24	0.4011204481792717
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC11	UPR	35	78	24	0.4028011204481793
ICMS3_MINUS_ICMS2	matched	technical_only	CRC11	iREC	15	78	24	0.3892857142857142
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC11	iREC	15	78	24	0.4249999999999999
ICMS3_MINUS_ICMS2	matched	technical_only	CRC12	Hypoxia	78	78	24	0.1172371931865602
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC12	Hypoxia	78	78	24	0.0323853361828045
ICMS3_MINUS_ICMS2	matched	technical_only	CRC12	REC	55	78	24	0.2919913419913421
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC12	REC	55	78	24	0.313924963924964
ICMS3_MINUS_ICMS2	matched	technical_only	CRC14	Hypoxia	285	78	24	0.2573644294919313
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC14	Hypoxia	285	78	24	0.2509395719180745
ICMS3_MINUS_ICMS2	matched	technical_only	CRC14	REC	40	78	24	0.3157598499061914
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC14	REC	40	78	24	0.3279549718574109
ICMS3_MINUS_ICMS2	matched	technical_only	CRC14	UPR	30	78	24	-0.0727474972191323
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC14	UPR	30	78	24	-0.060734149054505
ICMS3_MINUS_ICMS2	matched	technical_only	CRC14	iREC	30	78	24	0.5181312569521691
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC14	iREC	30	78	24	0.4798665183537263
ICMS3_MINUS_ICMS2	matched	technical_only	CRC15	Hypoxia	149	78	24	0.1554326138218756
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC15	Hypoxia	149	78	24	0.1200507890440776
ICMS3_MINUS_ICMS2	matched	technical_only	CRC15	REC	41	78	24	0.4391986062717771
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC15	REC	41	78	24	0.4149825783972126
ICMS3_MINUS_ICMS2	matched	technical_only	CRC15	UPR	11	78	24	-0.4454545454545455
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC15	UPR	11	78	24	-0.3363636363636363
ICMS3_MINUS_ICMS2	gene_z	technical_only	CRC01	Hypoxia	100	78	24	0.1131113111311131
ICMS3_MINUS_ICMS2	gene_z	technical_plus_rival	CRC01	Hypoxia	100	78	24	0.1012061206120612
ICMS3_MINUS_ICMS2	gene_z	technical_only	CRC01	REC	51	78	24	0.2557466063348416
ICMS3_MINUS_ICMS2	gene_z	technical_plus_rival	CRC01	REC	51	78	24	0.2062443438914027
ICMS3_MINUS_ICMS2	gene_z	technical_only	CRC01	iREC	35	78	24	0.3969187675070029
ICMS3_MINUS_ICMS2	gene_z	technical_plus_rival	CRC01	iREC	35	78	24	0.4005602240896359
ICMS3_MINUS_ICMS2	gene_z	technical_only	CRC02	Hypoxia	160	78	24	0.2758701511777803
ICMS3_MINUS_ICMS2	gene_z	technical_plus_rival	CRC02	Hypoxia	160	78	24	0.2539845306457283
ICMS3_MINUS_ICMS2	gene_z	technical_only	CRC02	REC	13	78	24	0.2637362637362637
ICMS3_MINUS_ICMS2	gene_z	technical_plus_rival	CRC02	REC	13	78	24	0.2362637362637362
ICMS3_MINUS_ICMS2	gene_z	technical_only	CRC02	UPR	33	78	24	0.115307486631016
ICMS3_MINUS_ICMS2	gene_z	technical_plus_rival	CRC02	UPR	33	78	24	0.1316844919786096
ICMS3_MINUS_ICMS2	gene_z	technical_only	CRC02	iREC	12	78	24	0.1678321678321678
ICMS3_MINUS_ICMS2	gene_z	technical_plus_rival	CRC02	iREC	12	78	24	0.3566433566433566
