rival	method	adjustment	state	minimum_cells	n_patients	n_positive	rho	CI_low	CI_high	p_signflip	p_BH
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	UPR	10	11	8	0.13130331760109704	-0.009880547564872333	0.25965160805359333	0.1044921875	0.13932291666666666
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	iREC	10	9	7	0.24281048659806545	0.021514886990237778	0.40989777907993374	0.0703125	0.1125
WHITE_RSC	gene_z	technical_only	Hypoxia	10	14	13	0.20995076889194308	0.15745694749501127	0.25828205225494805	0.000244140625	0.0009765625
WHITE_RSC	gene_z	technical_only	REC	10	12	10	0.21937906365334506	0.11470211117387488	0.30929626890863876	0.00390625	0.009765625
WHITE_RSC	gene_z	technical_only	UPR	10	11	6	0.047102545635595655	-0.12281292289160385	0.19318298369947634	0.591796875	0.591796875
WHITE_RSC	gene_z	technical_only	iREC	10	9	7	0.15561509958287856	-0.010352488308489354	0.3225056947019917	0.12109375	0.16145833333333331
WHITE_RSC	gene_z	technical_plus_rival	Hypoxia	10	14	13	0.15756757685451123	0.10291882338617789	0.21087553083570185	0.0003662109375	0.00146484375
WHITE_RSC	gene_z	technical_plus_rival	REC	10	12	11	0.16865387554052058	0.06787942617501916	0.25465565494735004	0.0107421875	0.021484375
WHITE_RSC	gene_z	technical_plus_rival	UPR	10	11	5	0.03313786488812105	-0.12316060595943754	0.17218373761928632	0.6884765625	0.7868303571428571
WHITE_RSC	gene_z	technical_plus_rival	iREC	10	9	4	0.006962275799398735	-0.20296726668905507	0.2206583248305076	0.96484375	0.96484375
WHITE_RSC	matched	technical_only	Hypoxia	10	14	14	0.2702923457523043	0.22289908935382852	0.31644061170113125	0.0001220703125	0.00048828125
WHITE_RSC	matched	technical_only	REC	10	12	12	0.3727700494325532	0.29628140894089355	0.4427769228580713	0.00048828125	0.0009765625
WHITE_RSC	matched	technical_only	UPR	10	11	8	0.07431361915634764	-0.1173346551544295	0.22121918872381657	0.45703125	0.45703125
WHITE_RSC	matched	technical_only	iREC	10	9	6	0.2481438062533164	0.0692785817138151	0.40571090205682864	0.03515625	0.05625
WHITE_RSC	matched	technical_plus_rival	Hypoxia	10	14	14	0.19308759667707487	0.13616557473524576	0.2465269229917184	0.0001220703125	0.00048828125
WHITE_RSC	matched	technical_plus_rival	REC	10	12	12	0.2962565741907208	0.23074523873490838	0.35832194980542886	0.00048828125	0.0009765625
WHITE_RSC	matched	technical_plus_rival	UPR	10	11	8	0.05048912558227025	-0.14582771646783182	0.20045665530872708	0.650390625	0.650390625
WHITE_RSC	matched	technical_plus_rival	iREC	10	9	6	0.15946025006209655	-0.019899697177119615	0.3276126941474258	0.1484375	0.16964285714285712
ICMS3_MINUS_ICMS2	gene_z	technical_only	Hypoxia	20	14	13	0.2033141718780766	0.14756220523811575	0.25675312631588243	0.000244140625	0.0009765625
ICMS3_MINUS_ICMS2	gene_z	technical_only	REC	20	9	8	0.2244631493868994	0.12391964953624453	0.3009533848926967	0.0078125	0.015625
ICMS3_MINUS_ICMS2	gene_z	technical_only	UPR	20	10	9	0.17242642239890535	0.06890668266019158	0.28014242756801316	0.009765625	0.015625
ICMS3_MINUS_ICMS2	gene_z	technical_only	iREC	20	7	5	0.17273445527560732	-0.021407192675427605	0.34417260258824006	0.15625	0.17857142857142855
ICMS3_MINUS_ICMS2	gene_z	technical_plus_rival	Hypoxia	20	14	14	0.20103662309849787	0.14871155884903273	0.24938826143757817	0.0001220703125	0.0009765625
ICMS3_MINUS_ICMS2	gene_z	technical_plus_rival	REC	20	9	8	0.20075806372236962	0.1034447091727827	0.27710441100007444	0.01171875	0.018750000000000003
ICMS3_MINUS_ICMS2	gene_z	technical_plus_rival	UPR	20	10	8	0.1711684702262593	0.07729100034528257	0.26538761206169287	0.0078125	0.015625
ICMS3_MINUS_ICMS2	gene_z	technical_plus_rival	iREC	20	7	5	0.16513233242947367	-0.0485902270543679	0.3430147786619621	0.203125	0.23214285714285712
ICMS3_MINUS_ICMS2	matched	technical_only	Hypoxia	20	14	14	0.2945418215376314	0.2448913313242711	0.3424085058531022	0.0001220703125	0.00048828125
ICMS3_MINUS_ICMS2	matched	technical_only	REC	20	9	9	0.348007021749751	0.2755209204991516	0.4086405732250682	0.00390625	0.0078125
