section	claim	source	filters	column	method	scale	transform	reported	rounding_atol
Results 4	Bulk fixed-score HRC low	result:analysis_results/rec_manuscript_reinforcement_2026-09-17/bulk/score_effects.tsv	{'component': 'HRC'}	low	one	1	identity	0.198	0.000500000001
Results 4	Bulk fixed-score HRC high	result:analysis_results/rec_manuscript_reinforcement_2026-09-17/bulk/score_effects.tsv	{'component': 'HRC'}	high	one	1	identity	0.827	0.000500000001
Results 4	Bulk fixed-score HRC q	result:analysis_results/rec_manuscript_reinforcement_2026-09-17/bulk/score_effects.tsv	{'component': 'HRC'}	q	one	1	identity	0.0188	5.0000001000000005e-05
Results 4	Bulk fixed-score Junction effect	result:analysis_results/rec_manuscript_reinforcement_2026-09-17/bulk/score_effects.tsv	{'component': 'Junction'}	effect	one	1	identity	0.286	0.000500000001
Results 4	Bulk fixed-score Junction low	result:analysis_results/rec_manuscript_reinforcement_2026-09-17/bulk/score_effects.tsv	{'component': 'Junction'}	low	one	1	identity	0.140	0.000500000001
Results 4	Bulk fixed-score Junction high	result:analysis_results/rec_manuscript_reinforcement_2026-09-17/bulk/score_effects.tsv	{'component': 'Junction'}	high	one	1	identity	0.446	0.000500000001
Results 4	Bulk fixed-score Junction q	result:analysis_results/rec_manuscript_reinforcement_2026-09-17/bulk/score_effects.tsv	{'component': 'Junction'}	q	one	1	identity	0.0188	5.0000001000000005e-05
Results 5	Regional CLDN3 unadjusted	panel:Figure_5_D.tsv	{'gene': 'CLDN3', 'model': 'unadjusted'}	logFC	one	1	identity	0.424	0.000500000001
Results 5	Regional CLDN3 source_adjusted	panel:Figure_5_D.tsv	{'gene': 'CLDN3', 'model': 'source_adjusted'}	logFC	one	1	identity	-0.263	0.000500000001
Results 5	Regional CLDN4 unadjusted	panel:Figure_5_D.tsv	{'gene': 'CLDN4', 'model': 'unadjusted'}	logFC	one	1	identity	0.260	0.000500000001
Results 5	Regional CLDN4 source_adjusted	panel:Figure_5_D.tsv	{'gene': 'CLDN4', 'model': 'source_adjusted'}	logFC	one	1	identity	-0.117	0.000500000001
Results 5	Regional CLDN7 unadjusted	panel:Figure_5_D.tsv	{'gene': 'CLDN7', 'model': 'unadjusted'}	logFC	one	1	identity	0.549	0.000500000001
Results 5	Regional CLDN7 source_adjusted	panel:Figure_5_D.tsv	{'gene': 'CLDN7', 'model': 'source_adjusted'}	logFC	one	1	identity	-0.187	0.000500000001
Results 5	Regional CLDN5 unadjusted	panel:Figure_5_D.tsv	{'gene': 'CLDN5', 'model': 'unadjusted'}	logFC	one	1	identity	-1.009	0.000500000001
