location	path	workspace_path	bytes	sha256	upstream_sha256	adaptation	source	consumers
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-19/spatial/tissue_positions.csv	data_sources/Liu_2026_GSE294385/extracted/M-ST-19/spatial/tissue_positions.csv	564247	c07e7571305b3fcf5bef7172341fa7177613d120646afdd58c2a03e026be2fa9	c07e7571305b3fcf5bef7172341fa7177613d120646afdd58c2a03e026be2fa9	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	junction_neighbourhood
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-21/filtered_feature_bc_matrix/barcodes.tsv.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-21/filtered_feature_bc_matrix/barcodes.tsv.gz	49998	8fc5fe1c1c3bc4d058692ed95bade15a5cb8068655aad5dfc6171fa5fbbebf72	8fc5fe1c1c3bc4d058692ed95bade15a5cb8068655aad5dfc6171fa5fbbebf72	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;regional_counts;junction_neighbourhood
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-21/filtered_feature_bc_matrix/features.tsv.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-21/filtered_feature_bc_matrix/features.tsv.gz	156435	de4fb48e944b2a8cfb91bb2334ef5db2edebcbccb1213a15972beff6a1a126e3	de4fb48e944b2a8cfb91bb2334ef5db2edebcbccb1213a15972beff6a1a126e3	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;junction_context;junction_neighbourhood;junction_measurement
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-21/filtered_feature_bc_matrix/matrix.mtx.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-21/filtered_feature_bc_matrix/matrix.mtx.gz	230292510	575c75883cb9facab729397724d72696bab37b12a4253397f652433400471a68	575c75883cb9facab729397724d72696bab37b12a4253397f652433400471a68	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;regional_counts;junction_neighbourhood
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-21/spatial/tissue_positions.csv	data_sources/Liu_2026_GSE294385/extracted/M-ST-21/spatial/tissue_positions.csv	562420	2d359380493b9283418396cd9c180dc3d53dbf456b937fd65c6074ac9d6fb352	2d359380493b9283418396cd9c180dc3d53dbf456b937fd65c6074ac9d6fb352	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	junction_neighbourhood
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-22/filtered_feature_bc_matrix/barcodes.tsv.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-22/filtered_feature_bc_matrix/barcodes.tsv.gz	67028	78e2a88c6149e70a590036d123af7ac3267579dfb69e00109f29a0d0b5031868	78e2a88c6149e70a590036d123af7ac3267579dfb69e00109f29a0d0b5031868	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;regional_counts;junction_neighbourhood;same_section_input
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-22/filtered_feature_bc_matrix/features.tsv.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-22/filtered_feature_bc_matrix/features.tsv.gz	156435	93f7d95e0c4d2b6a56cf19607508f21fe13cf2df0ca901ecaa453f5fd30fcfc3	93f7d95e0c4d2b6a56cf19607508f21fe13cf2df0ca901ecaa453f5fd30fcfc3	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;junction_context;junction_neighbourhood;junction_measurement;same_section_input
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-22/filtered_feature_bc_matrix/matrix.mtx.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-22/filtered_feature_bc_matrix/matrix.mtx.gz	254000019	dfc64810815773226512c44e64aa6a7501364a38bcd56abad921f6cf7a775815	dfc64810815773226512c44e64aa6a7501364a38bcd56abad921f6cf7a775815	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;regional_counts;junction_neighbourhood;same_section_input
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-22/spatial/tissue_positions.csv	data_sources/Liu_2026_GSE294385/extracted/M-ST-22/spatial/tissue_positions.csv	564939	368b975c95415ee3f139a3483aefed831d7979b840c4c2c271a1eb7ff4b791b6	368b975c95415ee3f139a3483aefed831d7979b840c4c2c271a1eb7ff4b791b6	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	junction_neighbourhood
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-23/filtered_feature_bc_matrix/barcodes.tsv.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-23/filtered_feature_bc_matrix/barcodes.tsv.gz	56739	607081ee795ffdd289158508e494952b4fdac68d66fc72ce80c29927df2dc866	607081ee795ffdd289158508e494952b4fdac68d66fc72ce80c29927df2dc866	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;regional_counts;junction_neighbourhood;same_section_input
