table	order	sheet	reference	n_rows	kind	source	assembly
4	22	Archived_MA_20_bin_medians	reference/workbooks/04/Archived_MA_20_bin_medians.json	120	data	analysis_results/rec_manuscript_reinforcement_2026-09-17/diagnostics/MA_gene_summaries.tsv.gz	workbook_sources.py
4	23	Added_source_index	reference/workbooks/04/Added_source_index.json	23	provenance		workbook_sources.py
4	24	Spatial_region_counts	reference/workbooks/04/Spatial_region_counts.json	24	data	manuscript/rec_text_polish_2026-09-21/source_data/panels/Supplementary_Figure_4_region_counts.tsv	workbook_sources.py
5	0	Table_5	reference/workbooks/05/Table_5.json	56	summary	analysis_results/rec_public_upgrade_2026-09-07/clinical/cox_models.tsv;analysis_results/rec_public_upgrade_2026-09-07/proteomics/disjoint_protein_correlations.tsv	summary_sources.py
5	1	Protein_disjoint_patient_scores	reference/workbooks/05/Protein_disjoint_patient_scores.json	321	data	analysis_results/rec_public_upgrade_2026-09-07/proteomics/disjoint_pair_patient_scores.tsv	workbook_sources.py
5	2	Protein_all_correlations	reference/workbooks/05/Protein_all_correlations.json	32	data	analysis_results/rec_public_upgrade_2026-09-07/proteomics/disjoint_protein_correlations.tsv	workbook_sources.py
5	3	Protein_coverage	reference/workbooks/05/Protein_coverage.json	50	data	analysis_results/rec_public_upgrade_2026-09-07/proteomics/rec50_protein_coverage.tsv	workbook_sources.py
5	4	Protein_gene_sets	reference/workbooks/05/Protein_gene_sets.json	245	data	analysis_results/rec_public_upgrade_2026-09-07/proteomics/disjoint_protein_gene_sets.tsv	workbook_sources.py
5	5	Protein_RNA18_concordance	reference/workbooks/05/Protein_RNA18_concordance.json	3	data	manuscript/rec_discovery_reinforced_2026-09-17/source_data/preserved_figure_inputs/Supplementary_Figure_7/RNA18_REC50_concordance.tsv	workbook_sources.py
5	6	Clinical_Cox_models	reference/workbooks/05/Clinical_Cox_models.json	24	data	analysis_results/rec_public_upgrade_2026-09-07/clinical/cox_models.tsv	workbook_sources.py
5	7	Clinical_all_coefficients	reference/workbooks/05/Clinical_all_coefficients.json	42	data	analysis_results/rec_public_upgrade_2026-09-07/clinical/cox_all_coefficients.tsv	workbook_sources.py
5	8	Clinical_curves	reference/workbooks/05/Clinical_curves.json	366	data	analysis_results/rec_public_upgrade_2026-09-07/clinical/continuous_and_timevarying_effects.tsv	workbook_sources.py
5	9	Clinical_sample_manifest	reference/workbooks/05/Clinical_sample_manifest.json	283	data	analysis_results/rec_public_upgrade_2026-09-07/clinical/sample_patient_manifest.tsv	workbook_sources.py
5	10	Clinical_patient_flow	reference/workbooks/05/Clinical_patient_flow.json	5	data	analysis_results/rec_public_upgrade_2026-09-07/clinical/patient_flow.tsv	workbook_sources.py
5	11	Clinical_sampling_sensitivity	reference/workbooks/05/Clinical_sampling_sensitivity.json	160	data	analysis_results/rec_public_upgrade_2026-09-07/clinical/sampling_sensitivity_mapping.tsv	workbook_sources.py
5	12	Clinical_PH_tests	reference/workbooks/05/Clinical_PH_tests.json	38	data	analysis_results/rec_public_upgrade_2026-09-07/clinical/proportional_hazards.tsv	workbook_sources.py
5	13	Added_source_index	reference/workbooks/05/Added_source_index.json	12	provenance		workbook_sources.py
6	0	Table_6	reference/workbooks/06/Table_6.json	50	summary	analysis_results/deep_biology_upgrade_2026-08-31/phase4_plexinb2_functional_projection/gse267981_endpoint_effects.tsv;analysis_results/deep_biology_upgrade_2026-08-31/phase5_gata6_functional_competitor_projection/gse290753_programme_contrasts.tsv;analysis_results/deep_biology_upgrade_2026-08-31/phase6_gata6_serial_metastatic_selection_projection/gse290752_programme_contrasts.tsv;analysis_results/rec_public_upgrade_2026-09-07/mapk/program_intervention_effects.tsv	summary_sources.py
6	1	MRTX_mouse_scores	reference/workbooks/06/MRTX_mouse_scores.json	24	data	analysis_results/rec_public_upgrade_2026-09-07/mapk/sample_program_scores.tsv	workbook_sources.py
6	2	MRTX_all_programme_effects	reference/workbooks/06/MRTX_all_programme_effects.json	30	data	analysis_results/rec_public_upgrade_2026-09-07/mapk/program_intervention_effects.tsv	workbook_sources.py
6	3	MRTX_coverage	reference/workbooks/06/MRTX_coverage.json	30	data	analysis_results/rec_public_upgrade_2026-09-07/mapk/program_coverage.tsv	workbook_sources.py
6	4	MRTX_displayed_effects	reference/workbooks/06/MRTX_displayed_effects.json	10	data	manuscript/rec_discovery_reinforced_2026-09-17/source_data/preserved_figure_inputs/Supplementary_Figure_9/displayed_MRTX_effects.tsv	workbook_sources.py
6	5	Plexin_displayed_effects	reference/workbooks/06/Plexin_displayed_effects.json	7	data	manuscript/rec_discovery_reinforced_2026-09-17/source_data/preserved_figure_inputs/Supplementary_Figure_9/displayed_Plexin_effects.tsv	workbook_sources.py
6	6	Plexin_all_endpoints	reference/workbooks/06/Plexin_all_endpoints.json	50	data	analysis_results/deep_biology_upgrade_2026-08-31/phase4_plexinb2_functional_projection/gse267981_endpoint_effects.tsv	workbook_sources.py
6	7	Plexin_coverage	reference/workbooks/06/Plexin_coverage.json	20	data	analysis_results/deep_biology_upgrade_2026-08-31/phase4_plexinb2_functional_projection/gse267981_programme_coverage.tsv	workbook_sources.py
6	8	Plexin_cell_subsampling	reference/workbooks/06/Plexin_cell_subsampling.json	50	data	analysis_results/deep_biology_upgrade_2026-08-31/phase4_plexinb2_functional_projection/gse267981_equal_cell_rarefaction_summary.tsv	workbook_sources.py
6	9	GATA6_library_scores	reference/workbooks/06/GATA6_library_scores.json	60	data	analysis_results/deep_biology_upgrade_2026-08-31/phase5_gata6_functional_competitor_projection/gse290753_programme_scores.tsv	workbook_sources.py
6	10	Serial_selection_library_scores	reference/workbooks/06/Serial_selection_library_scores.json	120	data	analysis_results/deep_biology_upgrade_2026-08-31/phase6_gata6_serial_metastatic_selection_projection/gse290752_programme_scores.tsv	workbook_sources.py
