patient	region	Claudin	Polarity	Junction	HRC	RSC	iCMS2	iCMS3	E2F	Hypoxia	Epithelial	Liver	iCMS	transform	filter	score
PAT3	micro_tumour	0.27362604245339955	0.7382904629073676	0.3955244433765469	-0.0834345969992971	0.06499880782164587	0.285564888832389	0.13807725428418893	0.452932239661826	0.056013120887823495	-0.7325420167356519	0.6473417217454471	-0.14748763454820008	library_scaled_count_prior	all_members	mean_gene_z
PAT3	macro_tumour	0.16297791505401302	0.7840148630632833	0.3396702479730636	0.1377370699450179	-0.0028640455224885194	0.3936042779123893	0.17638223760707353	0.105512130624764	-0.05213762331119672	-0.42714644911789434	-0.04026445045764535	-0.21722204030531575	library_scaled_count_prior	all_members	mean_gene_z
PAT2	micro_tumour	-1.6062376741961748	-0.03599969562036115	-1.1430084006385648	-1.1851964224333402	-0.8314376227041232	-0.4809350820099591	-0.6630823961032909	-0.33802836277069476	-0.8143845754505986	-1.992826946155138	-1.4312673628199128	-0.1821473140933318	library_scaled_count_prior	all_members	mean_gene_z
PAT2	macro_tumour	-0.17498870554328325	0.5087605849062331	0.018678154851666698	0.47662426422656473	0.16276582000668124	0.40675015485217614	0.09269451433733067	0.3671048035887321	0.18515745802204595	0.47260963210216966	-1.3776193095122504	-0.31405564051484547	library_scaled_count_prior	all_members	mean_gene_z
PAT4	micro_tumour	0.2518911282964427	-0.33045708338877233	0.10953743243453169	-0.33389286391538703	-0.16777034548933398	-0.04582256962987091	-0.05250356907253705	0.3141990928563107	-0.206393430566066	0.25409790982732366	0.7489953964287462	-0.00668099944266614	library_scaled_count_prior	all_members	mean_gene_z
PAT4	macro_tumour	0.41386721810469507	-0.20702182305002764	0.29113938588677574	0.31490695589464074	0.10412508001657231	-0.12329319297884053	0.1962977374717237	-0.30251063984113424	0.060037834746617544	0.6293770296887728	-0.1968653293946342	0.3195909304505642	library_scaled_count_prior	all_members	mean_gene_z
PAT6	micro_tumour	-0.3808039540802749	0.017770414268566334	-0.29988746619834894	-0.00011692422088597423	0.24120606217811688	-0.8299891464283427	0.2189581389170739	-0.43870888796962804	0.14821692240405704	-0.6022861772294437	0.6397569574713743	1.0489472853454165	library_scaled_count_prior	all_members	mean_gene_z
PAT6	macro_tumour	0.19212034018560725	0.23576957843962	0.20212905906841822	0.15345818874366823	-0.16755423978562836	0.09768023259310485	0.17446651821280038	0.16668274839251004	-0.047829974964942144	-0.17001936117835514	-1.6768266073071867	0.07678628561969553	library_scaled_count_prior	all_members	mean_gene_z
PAT9	macro_tumour	0.19086062788042868	0.41154781847046157	0.26296199112687374	0.33216172677418504	-0.002394763045806948	0.745843596577169	0.05371153852312333	0.36202778458796614	0.01745396429049801	-0.05508475245521418	-0.7967053315031448	-0.6921320580540457	library_scaled_count_prior	all_members	mean_gene_z
PAT9	micro_tumour	0.31263084634777094	-0.43424060079281485	0.0683658737410038	-0.6985753652770403	-0.1141986494485197	-0.4155769533871259	0.08061694030263929	-1.1880925067025723	0.24908381391198367	-1.0313557050629218	1.6268551699337859	0.4961938936897652	library_scaled_count_prior	all_members	mean_gene_z
PAT7	micro_tumour	-0.09982664945731534	-0.4444319271908476	-0.1952275550336941	-0.047346574145306984	0.1526455517022761	-0.667098399504619	0.19017848040360513	-0.680190170911078	0.41624482579811023	-0.16158132427357227	1.1240283799461144	0.8572768799082242	library_scaled_count_prior	all_members	mean_gene_z
PAT7	macro_tumour	0.44497449855493315	0.038952487295998206	0.35611475620589744	0.4585499400046293	0.25643451908502696	0.09011342046043155	0.24716211027414867	0.3291488451527508	-0.012712387711026858	0.9047608327770437	-0.5248295598325564	0.1570486898137171	library_scaled_count_prior	all_members	mean_gene_z
PAT11	micro_tumour	0.09365330028949843	-0.1356022677991816	0.0575307693181042	0.16575147263859025	0.20454525187017183	0.002620208791843073	0.1400384217471721	-0.02005965727486648	0.247295698011784	0.10826477475013285	1.075131360895948	0.13741821295532902	library_scaled_count_prior	all_members	mean_gene_z
