pair_id	priority	side	program_id	gene_role	gene	mean_expression	detected_epithelial_cells	expression_bin
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC111198.1	0.0006215021249705709	8	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC112196.1	0.026639658422277702	401	14
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC112907.3	0.005727377731055884	89	10
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC114284.1	6.246486351430435e-05	2	1
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC116345.4	0.008335713954040062	131	11
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC116362.1	0.07201968341296967	685	16
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC125494.1	0.014931763247566704	240	12
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC127520.1	0.0009134913326329911	15	6
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC136944.1	0.002213546610078103	36	8
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC138305.1	0.08950124775285877	541	17
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC146944.4	0.006110317948771645	99	10
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC174469.1	0.00036379492582957026	6	3
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC211486.5	0.004422277850671056	70	10
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC232271.1	0.006469111903795438	102	11
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC243547.2	9.305361611562082e-05	2	1
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC243960.3	0.00012492972702854644	2	1
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC245140.2	0.021593232963226502	331	13
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	ACACB	0.2527135928224915	3017	20
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	ACADVL	0.414856632778293	4339	21
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	ACMSD	0.00943166645449355	151	11
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	ADAD2	0.00012492972702854644	2	1
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	ADAM28	0.049432744154016384	752	15
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	ADGRF2	0.006043308105435384	84	10
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AF064858.1	0.17243427467849526	1872	19
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AFF1	1.9580874371122086	10606	24
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AFF4	1.2535485827715829	8941	24
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AIFM2	0.19579150387583888	2484	19
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL008725.1	0.009772760549813709	143	11
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL020993.1	0.0012985196713169913	20	6
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL022328.4	0.0053645757108589836	86	10
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL022329.1	0.0006871134986570056	11	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL023581.2	0.0007387092919343417	12	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL024474.2	0.009790423628064036	165	11
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL031428.1	0.3520488654608828	3816	21
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL031429.2	0.00012492972702854644	2	1
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL034417.3	0.010871685860314728	155	12
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL035603.1	0.0003745082138226416	6	3
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL049748.1	0.0003123243175713661	5	3
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL050343.3	0.000682249154251664	11	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL080275.1	0.0010191481868795846	18	6
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL080276.2	0.04095978030289302	600	15
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL109930.1	0.3835150192720517	3999	21
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL109955.2	0.0003123243175713661	5	3
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL117329.1	0.8404212609706943	3660	23
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL121809.1	0.0002498594540570929	4	3
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL121890.5	0.001061902679742645	17	6
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL121899.4	6.246486351427322e-05	1	1
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL121900.1	0.020514446241179932	298	13
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL121957.1	0.0003123243175713661	5	3
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL132712.2	0.013082937559395541	205	12
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL132800.1	0.06161241141478988	849	16
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL132996.1	0.0008517508429630282	14	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL133216.1	0.0006515675190796867	11	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL133227.1	0.039236771292671245	590	15
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL133467.1	0.00012492972702854644	2	1
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL136295.17	0.007752779318098053	122	11
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL136320.1	0.00037478918108563937	6	3
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL137779.2	0.043397786481903636	618	15
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL137847.1	0.010985735323317564	168	12
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL138900.1	0.00012492972702854644	2	1
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL138963.4	0.007587231972564706	118	11
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL139241.1	0.0009571407161324007	16	6
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL157893.2	0.005008656915759626	83	10
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL157997.1	0.0076468828817736	116	11
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL158207.2	0.0008681405599374229	18	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL158839.1	0.000809494456015325	13	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL160171.1	0.01294981313381738	199	12
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL160191.1	0.0002498594540570929	4	3
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL160313.1	0.013482100003640897	207	12
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL160408.5	0.00012492972702854644	2	1
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL161665.1	0.034569325270751905	529	14
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL161757.4	0.0025928181747532472	35	8
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL163636.1	0.006152851194570441	102	10
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL354861.3	0.0022911700975128684	35	8
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL354920.1	0.0025307973414553384	41	8
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL355303.1	0.006598452962802327	110	11
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL355516.1	0.002792573725755004	41	8
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL355601.1	0.0002498594540570929	4	3
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL356475.1	0.0003503485625178447	6	3
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL357558.1	6.246486351427322e-05	1	1
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL358292.1	0.0003589752709458252	6	3
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL358334.4	0.0006966537118397406	11	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL359091.4	0.0008393334928387833	14	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL359397.2	0.002593867239212511	42	8
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL359538.4	0.0003123243175713661	5	3
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL359851.1	0.012137071968979122	171	12
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL360020.1	0.012532791755388415	196	12
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL390763.1	0.0007811950016933169	13	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL391497.1	0.0003123243175713661	5	3
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL451050.2	0.013031553161740731	202	12
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL512358.1	0.0006871134986570056	11	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL590560.2	0.004526841263684975	72	10
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL590640.1	0.0009965251562738192	16	6
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL591895.1	0.3252948574320179	3616	21
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL592078.2	0.0026056314998030754	42	8
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL596094.1	0.005302929056897818	85	10
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL596451.1	0.0020613404959710165	28	8
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL606468.1	0.006246730284059696	83	10
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL606500.1	0.001144486275907087	16	6
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AL671710.1	0.005804431092933456	95	10
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	ALDH18A1	0.5550364392267231	5197	22
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	ALDH3B1	0.05300811024703714	771	15
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AMZ2	0.07302648442266163	1043	16
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	ANAPC15	0.07959429637966832	1105	16
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	ANAPC4	0.276026066631178	3411	20
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	ANKIB1	2.284706025967581	11264	24
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	ANKRD65	0.0007295976595182682	14	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	ANKRD7	0.010573433847905132	131	12
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	ANXA13	0.2376787245694314	1791	20
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	ANXA7	0.5235994157029227	5127	22
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AP000223.1	0.0007495783621712788	12	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AP000350.5	0.0026212769576630323	41	8
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AP000428.1	0.0006246486351427324	10	5
