hops	restriction	score	component	n_genes	endpoint	n	effect	low	high	p	n_positive	loo_min	loo_max	q
5	epithelial_high	mean_gene_z	HRC	87	HGP_localization	6	-0.09854686223675956	-0.298645823181318	0.10902845617896861	0.5	NA	-0.20772677134845818	0.0015026182355196566	0.6666666666666666
5	epithelial_high	mean_logCPM	Claudin	21	HGP_tumour	6	0.021094154054185132	-0.3974922718132794	0.45793919184042853	1.0	NA	-0.19760568214344065	0.23066468429242182	1.0
5	epithelial_high	mean_logCPM	Polarity	8	HGP_tumour	6	-0.04876949720995505	-0.4582513666552419	0.4009950550504504	0.9	NA	-0.27365177334015733	0.08425693750509655	1.0
5	epithelial_high	mean_logCPM	Junction	30	HGP_tumour	6	0.007260363430518169	-0.20229192753539182	0.21716303417288918	0.9	NA	-0.10208916560743209	0.11643470258023791	1.0
5	epithelial_high	mean_logCPM	HRC	87	HGP_tumour	6	0.20576276529585869	-0.3647641912613242	0.7762897218530398	0.7	NA	-0.012162282663046753	0.452664727434402	1.0
5	epithelial_high	mean_gene_z	Claudin	21	HGP_tumour	6	0.10296107055892581	-0.13820455524328928	0.3441266963611409	0.6	NA	-0.006958451815226141	0.19034550936725653	0.8
5	epithelial_high	mean_gene_z	Polarity	8	HGP_tumour	6	-0.17024835981534403	-0.8092537443317319	0.46875702470104397	0.7	NA	-0.43172178480868334	0.11082541565317433	0.8
5	epithelial_high	mean_gene_z	Junction	30	HGP_tumour	6	0.041380075390747215	-0.18847069346956932	0.19405355356248308	0.8	NA	-0.039698816684250626	0.15868635491041508	0.8
5	epithelial_high	mean_gene_z	HRC	87	HGP_tumour	6	0.16371901962442373	-0.49064508133616824	0.8180831205850156	0.8	NA	-0.08550147122947727	0.469606859819651	0.8
7	all_tumour	mean_logCPM	Claudin	21	near_minus_deep	6	0.35242011615272556	-0.061596514595865605	0.8793484101314281	0.3125	4.0	0.12590380193496972	0.4768020120258264	0.34375
7	all_tumour	mean_logCPM	Claudin	21	HGP_near	6	0.0954989908912911	-0.41763770309857473	0.6086356848811569	0.8	NA	-0.13286152918430116	0.3404689691791025	0.8
7	all_tumour	mean_logCPM	Claudin	21	HGP_localization	6	-0.634129574617674	-1.4438531634357719	0.2990514970948232	0.4	NA	-1.1036167079548447	-0.22637118272770296	0.4
7	all_tumour	mean_logCPM	Polarity	8	near_minus_deep	6	0.026153057784394473	-0.018741188985443785	0.07246233567826676	0.34375	3.0	0.010233513607686895	0.04005134303291254	0.34375
7	all_tumour	mean_logCPM	Polarity	8	HGP_near	6	-0.07834017553422079	-0.5080913276625454	0.35141097659410203	0.7	NA	-0.2604515795045321	0.12110793998372671	0.8
7	all_tumour	mean_logCPM	Polarity	8	HGP_localization	6	0.050024510137335845	-0.04259404565040873	0.12413948626989384	0.4	NA	0.022731777229900867	0.09727635079296497	0.4
7	all_tumour	mean_logCPM	Junction	30	near_minus_deep	6	0.2487027456859728	-0.048453644221566027	0.6141236266042501	0.3125	4.0	0.09434381420548092	0.33701084085130606	0.34375
7	all_tumour	mean_logCPM	Junction	30	HGP_near	6	0.04703913316120634	-0.20276453212792145	0.27613522957040537	0.8	NA	-0.05005165383508681	0.17194096580577023	0.8
7	all_tumour	mean_logCPM	Junction	30	HGP_localization	6	-0.42950716573173997	-0.9704811921629256	0.21071984485539272	0.4	NA	-0.7576541950780081	-0.15098662846344527	0.4
