dataset	component	gene	source_gene	measured_variable
GSE294385	RSC	GJB3	GJB3	True
GSE294385	RSC	GLIPR1	GLIPR1	True
GSE294385	RSC	GPNMB	GPNMB	True
GSE294385	RSC	GPR137B	GPR137B	True
GSE294385	RSC	GPX2	GPX2	True
GSE294385	RSC	GTSE1	GTSE1	True
GSE294385	RSC	HMOX1	HMOX1	True
GSE294385	RSC	HSPA2	HSPA2	True
GSE294385	RSC	HSPB1	HSPB1	True
GSE294385	RSC	HSPH1	HSPH1	True
GSE294385	RSC	HYAL1	HYAL1	True
GSE294385	RSC	ICA1	ICA1	True
GSE294385	RSC	ICAM1	ICAM1	True
GSE294385	RSC	ID2	ID2	True
GSE294385	RSC	IL17RE		False
GSE294385	RSC	IL1RN	IL1RN	True
GSE294385	RSC	IL33	IL33	True
GSE294385	RSC	ILDR1	ILDR1	True
GSE294385	RSC	INKA2	INKA2	True
GSE294385	RSC	IRF1	IRF1	True
GSE294385	RSC	ITGA2	ITGA2	True
GSE294385	RSC	ITGAV	ITGAV	True
GSE294385	RSC	ITGB4	ITGB4	True
GSE294385	RSC	ITPRIPL2	ITPRIPL2	True
GSE294385	RSC	KCNN4	KCNN4	True
GSE294385	RSC	KIFC3	KIFC3	True
GSE294385	RSC	KLF7	KLF7	True
GSE294385	RSC	KRT15	KRT15	True
GSE294385	RSC	KRT18		False
GSE294385	RSC	KRT23	KRT23	True
GSE294385	RSC	LAMA3	LAMA3	True
GSE294385	RSC	LAPTM5	LAPTM5	True
GSE294385	RSC	LCN2	LCN2	True
GSE294385	RSC	LDLR	LDLR	True
GSE294385	RSC	LGALS1	LGALS1	True
GSE294385	RSC	LPCAT4	LPCAT4	True
GSE294385	RSC	LRG1	LRG1	True
GSE294385	RSC	MDM2	MDM2	True
GSE294385	RSC	MISP3		False
GSE294385	RSC	MRAS	MRAS	True
GSE294385	RSC	MSANTD3	MSANTD3	True
GSE294385	RSC	MSLN	MSLN	True
GSE294385	RSC	MSN	MSN	True
GSE294385	RSC	MST1R	MST1R	True
GSE294385	RSC	MTCL1	MTCL1	True
GSE294385	RSC	MUC3A	MUC3A	True
GSE294385	RSC	MYH9	MYH9	True
GSE294385	RSC	NFE2L3	NFE2L3	True
GSE294385	RSC	NFKBIA	NFKBIA	True
GSE294385	RSC	NFKBIZ	NFKBIZ	True
GSE294385	RSC	NOS2	NOS2	True
GSE294385	RSC	NOXO1	NOXO1	True
GSE294385	RSC	OSBPL5	OSBPL5	True
GSE294385	RSC	P2RY2	P2RY2	True
GSE294385	RSC	P2RY6	P2RY6	True
GSE294385	RSC	PAQR8	PAQR8	True
GSE294385	RSC	PDZK1IP1	PDZK1IP1	True
GSE294385	RSC	PHLDA1	PHLDA1	True
GSE294385	RSC	PHLDA2	PHLDA2	True
GSE294385	RSC	PIERCE1		False
GSE294385	RSC	PIMREG	PIMREG	True
GSE294385	RSC	PLAU	PLAU	True
GSE294385	RSC	PLAUR	PLAUR	True
GSE294385	RSC	PLCD3	PLCD3	True
GSE294385	RSC	PLEKHS1	PLEKHS1	True
GSE294385	RSC	PLK2	PLK2	True
GSE294385	RSC	PMEPA1	PMEPA1	True
GSE294385	RSC	PPIC	PPIC	True
GSE294385	RSC	PPL	PPL	True
GSE294385	RSC	PSRC1	PSRC1	True
GSE294385	RSC	PTGS2	PTGS2	True
GSE294385	RSC	RAB11FIP5	RAB11FIP5	True
GSE294385	RSC	RAB15	RAB15	True
GSE294385	RSC	RACK1	RACK1	True
GSE294385	RSC	RALGAPA2	RALGAPA2	True
GSE294385	RSC	RBMS1	RBMS1	True
GSE294385	RSC	RGS19	RGS19	True
GSE294385	RSC	RHOD	RHOD	True
GSE294385	RSC	RIPK2	RIPK2	True
GSE294385	RSC	RUNX1	RUNX1	True
GSE294385	RSC	S100A14	S100A14	True
GSE294385	RSC	S100A4	S100A4	True
GSE294385	RSC	S100A6	S100A6	True
GSE294385	RSC	SAMD5	SAMD5	True
GSE294385	RSC	SCEL	SCEL	True
GSE294385	RSC	SEMA7A	SEMA7A	True
GSE294385	RSC	SH3BGRL2	SH3BGRL2	True
GSE294385	RSC	SLC19A2	SLC19A2	True
GSE294385	RSC	SLC39A10	SLC39A10	True
GSE294385	RSC	SLC44A2	SLC44A2	True
GSE294385	RSC	SLC60A1		False
GSE294385	RSC	SLC7A5	SLC7A5	True
GSE294385	RSC	SLCO4A1	SLCO4A1	True
GSE294385	RSC	SLPI	SLPI	True
GSE294385	RSC	SMIM33	SMIM33	True
GSE294385	RSC	SNORA20		False
GSE294385	RSC	SNORD104		False
GSE294385	RSC	SNORD47		False
GSE294385	RSC	SNORD92		False
GSE294385	RSC	SOCS3	SOCS3	True
GSE294385	RSC	SORL1	SORL1	True
GSE294385	RSC	SPATA6	SPATA6	True
GSE294385	RSC	SPP1	SPP1	True
GSE294385	RSC	STX11	STX11	True
GSE294385	RSC	SULF2	SULF2	True
GSE294385	RSC	SYT8	SYT8	True
GSE294385	RSC	TCIM	TCIM	True
GSE294385	RSC	TCIRG1	TCIRG1	True
GSE294385	RSC	TGFBI	TGFBI	True
GSE294385	RSC	TGM2	TGM2	True
GSE294385	RSC	TIMP2	TIMP2	True
GSE294385	RSC	TINAGL1	TINAGL1	True
GSE294385	RSC	TLR4	TLR4	True
GSE294385	RSC	TMEM184C	TMEM184C	True
GSE294385	RSC	TMEM43	TMEM43	True
GSE294385	RSC	TNF	TNF	True
GSE294385	RSC	TNFAIP3	TNFAIP3	True
GSE294385	RSC	TNFAIP8	TNFAIP8	True
GSE294385	RSC	TNFRSF1B	TNFRSF1B	True
GSE294385	RSC	TNFSF9	TNFSF9	True
GSE294385	RSC	TNIP3	TNIP3	True
GSE294385	RSC	TNNI2		False
GSE294385	RSC	TNNT2	TNNT2	True
GSE294385	RSC	TNS4	TNS4	True
GSE294385	RSC	TRAM2	TRAM2	True
GSE294385	RSC	TRIM15	TRIM15	True
GSE294385	RSC	TRIM40	TRIM40	True
GSE294385	RSC	TSPAN4	TSPAN4	True
GSE294385	RSC	TSPAN6	TSPAN6	True
GSE294385	RSC	TUBA1A		False
GSE294385	RSC	VAMP5	VAMP5	True
GSE294385	RSC	VIM	VIM	True
GSE294385	RSC	VNN1	VNN1	True
GSE294385	RSC	WFDC2	WFDC2	True
GSE294385	RSC	WWTR1	WWTR1	True
GSE294385	RSC	ZMAT3	ZMAT3	True
GSE294385	RSC	ZNF296	ZNF296	True
GSE294385	RSC	ZNF703	ZNF703	True
GSE294385	iCMS2	A1CF	A1CF	True
GSE294385	iCMS2	ABHD12	ABHD12	True
GSE294385	iCMS2	ABRACL	ABRACL	True
GSE294385	iCMS2	ACOT8	ACOT8	True
GSE294385	iCMS2	ADIRF	ADIRF	True
GSE294385	iCMS2	ADRM1	ADRM1	True
GSE294385	iCMS2	AHCY		False
GSE294385	iCMS2	AIFM3	AIFM3	True
GSE294385	iCMS2	AKAP1	AKAP1	True
GSE294385	iCMS2	ALKBH3	ALKBH3	True
GSE294385	iCMS2	ANO9	ANO9	True
GSE294385	iCMS2	AQP8	AQP8	True
GSE294385	iCMS2	AREG	AREG	True
GSE294385	iCMS2	ARFGAP1	ARFGAP1	True
GSE294385	iCMS2	ARFRP1	ARFRP1	True
GSE294385	iCMS2	ARHGAP45	ARHGAP45	True
GSE294385	iCMS2	ARID3A	ARID3A	True
GSE294385	iCMS2	ARL4A	ARL4A	True
GSE294385	iCMS2	ARMC1	ARMC1	True
GSE294385	iCMS2	ARSE	ARSE	True
GSE294385	iCMS2	ASCL2	ASCL2	True
GSE294385	iCMS2	ASPSCR1	ASPSCR1	True
GSE294385	iCMS2	ASXL1	ASXL1	True
GSE294385	iCMS2	ATP10B	ATP10B	True
GSE294385	iCMS2	ATP6V1H	ATP6V1H	True
GSE294385	iCMS2	ATP9A	ATP9A	True
GSE294385	iCMS2	AURKA	AURKA	True
GSE294385	iCMS2	AVL9	AVL9	True
GSE294385	iCMS2	AXIN2	AXIN2	True
GSE294385	iCMS2	BCAP31	BCAP31	True
GSE294385	iCMS2	BCL2L1	BCL2L1	True
GSE294385	iCMS2	BLCAP	BLCAP	True
GSE294385	iCMS2	BOP1	BOP1	True
GSE294385	iCMS2	C10ORF99	C10ORF99	True
GSE294385	iCMS2	C1GALT1C1	C1GALT1C1	True
GSE294385	iCMS2	C2	C2	True
GSE294385	iCMS2	C20ORF27	C20ORF27	True
GSE294385	iCMS2	C6ORF222		False
GSE294385	iCMS2	C6ORF48		False
GSE294385	iCMS2	C8ORF33	C8ORF33	True
GSE294385	iCMS2	C8ORF59		False
GSE294385	iCMS2	CA4	CA4	True
GSE294385	iCMS2	CAPZA2	CAPZA2	True
GSE294385	iCMS2	CARS2	CARS2	True
GSE294385	iCMS2	CCDC34	CCDC34	True
GSE294385	iCMS2	CCDC85B	CCDC85B	True
GSE294385	iCMS2	CCL20	CCL20	True
GSE294385	iCMS2	CCT6A		False
GSE294385	iCMS2	CDC16	CDC16	True
GSE294385	iCMS2	CDC25B	CDC25B	True
GSE294385	iCMS2	CDHR1	CDHR1	True
GSE294385	iCMS2	CDK4	CDK4	True
GSE294385	iCMS2	CDK5RAP1	CDK5RAP1	True
GSE294385	iCMS2	CDK8	CDK8	True
GSE294385	iCMS2	CDX2	CDX2	True
GSE294385	iCMS2	CEBPA	CEBPA	True
GSE294385	iCMS2	CEBPB		False
GSE294385	iCMS2	CFTR	CFTR	True
GSE294385	iCMS2	CHCHD7	CHCHD7	True
GSE294385	iCMS2	CHD6	CHD6	True
GSE294385	iCMS2	CHMP4C	CHMP4C	True
GSE294385	iCMS2	CHP2	CHP2	True
GSE294385	iCMS2	CKB	CKB	True
GSE294385	iCMS2	COMMD6	COMMD6	True
GSE294385	iCMS2	COMMD7	COMMD7	True
GSE294385	iCMS2	COPS5	COPS5	True
GSE294385	iCMS2	COX19	COX19	True
GSE294385	iCMS2	CPNE1	CPNE1	True
GSE294385	iCMS2	CSE1L	CSE1L	True
GSE294385	iCMS2	CSNK2A2	CSNK2A2	True
GSE294385	iCMS2	CTNNBL1	CTNNBL1	True
GSE294385	iCMS2	CTSA	CTSA	True
GSE294385	iCMS2	CTSH	CTSH	True
GSE294385	iCMS2	CXCL14	CXCL14	True
GSE294385	iCMS2	CYB5B	CYB5B	True
GSE294385	iCMS2	CYP2S1	CYP2S1	True
GSE294385	iCMS2	CYP2W1	CYP2W1	True
GSE294385	iCMS2	DAB2	DAB2	True
GSE294385	iCMS2	DARS	DARS	True
GSE294385	iCMS2	DCAF13	DCAF13	True
GSE294385	iCMS2	DDAH2	DDAH2	True
GSE294385	iCMS2	DDC	DDC	True
GSE294385	iCMS2	DDX27	DDX27	True
GSE294385	iCMS2	DIDO1	DIDO1	True
GSE294385	iCMS2	DKC1	DKC1	True
GSE294385	iCMS2	DNAJC15	DNAJC15	True
GSE294385	iCMS2	DNAJC5	DNAJC5	True
GSE294385	iCMS2	DNTTIP1	DNTTIP1	True
GSE294385	iCMS2	DPEP1	DPEP1	True
GSE294385	iCMS2	DPM1	DPM1	True
GSE294385	iCMS2	DYNLRB1		False
GSE294385	iCMS2	EDEM2	EDEM2	True
GSE294385	iCMS2	EDN1	EDN1	True
GSE294385	iCMS2	EEPD1	EEPD1	True
GSE294385	iCMS2	EIF2S2	EIF2S2	True
GSE294385	iCMS2	EIF3E	EIF3E	True
GSE294385	iCMS2	EIF3H	EIF3H	True
GSE294385	iCMS2	EIF6	EIF6	True
GSE294385	iCMS2	EMD	EMD	True
GSE294385	iCMS2	EPB41L1	EPB41L1	True
GSE294385	iCMS2	EPB41L5	EPB41L5	True
GSE294385	iCMS2	EREG	EREG	True
GSE294385	iCMS2	ERGIC3	ERGIC3	True
GSE294385	iCMS2	ESF1	ESF1	True
GSE294385	iCMS2	ESPN	ESPN	True
GSE294385	iCMS2	EXOSC5	EXOSC5	True
GSE294385	iCMS2	FABP1	FABP1	True
GSE294385	iCMS2	FARP1	FARP1	True
GSE294385	iCMS2	FBL		False
GSE294385	iCMS2	FCGRT	FCGRT	True
GSE294385	iCMS2	FERMT1	FERMT1	True
GSE294385	iCMS2	FGGY	FGGY	True
GSE294385	iCMS2	FMR1	FMR1	True
GSE294385	iCMS2	FN1	FN1	True
GSE294385	iCMS2	FNTA		False
GSE294385	iCMS2	FTL	FTL	True
GSE294385	iCMS2	FTX		False
GSE294385	iCMS2	FUNDC2	FUNDC2	True
GSE294385	iCMS2	GABRE	GABRE	True
GSE294385	iCMS2	GAL	GAL	True
GSE294385	iCMS2	GGH	GGH	True
GSE294385	iCMS2	GID8	GID8	True
GSE294385	iCMS2	GJB1	GJB1	True
GSE294385	iCMS2	GLA	GLA	True
GSE294385	iCMS2	GNPDA1	GNPDA1	True
GSE294385	iCMS2	GOLGA7	GOLGA7	True
GSE294385	iCMS2	GPALPP1	GPALPP1	True
GSE294385	iCMS2	GPCPD1	GPCPD1	True
GSE294385	iCMS2	GPSM2	GPSM2	True
GSE294385	iCMS2	GTF2F2	GTF2F2	True
GSE294385	iCMS2	GTF2IRD1	GTF2IRD1	True
GSE294385	iCMS2	GTF3A	GTF3A	True
GSE294385	iCMS2	HELZ2	HELZ2	True
GSE294385	iCMS2	HIBADH	HIBADH	True
GSE294385	iCMS2	HM13	HM13	True
GSE294385	iCMS2	HNF4A	HNF4A	True
GSE294385	iCMS2	HSD17B10	HSD17B10	True
GSE294385	iCMS2	HUS1	HUS1	True
GSE294385	iCMS2	ID1	ID1	True
GSE294385	iCMS2	IFITM1	IFITM1	True
GSE294385	iCMS2	IFT52	IFT52	True
GSE294385	iCMS2	IGBP1	IGBP1	True
GSE294385	iCMS2	IMMP2L	IMMP2L	True
GSE294385	iCMS2	IPO5	IPO5	True
GSE294385	iCMS2	IRS2	IRS2	True
GSE294385	iCMS2	KLC4	KLC4	True
GSE294385	iCMS2	KPNA3	KPNA3	True
GSE294385	iCMS2	KRT23	KRT23	True
GSE294385	iCMS2	LAGE3	LAGE3	True
GSE294385	iCMS2	LAMP2	LAMP2	True
GSE294385	iCMS2	LAPTM4B	LAPTM4B	True
GSE294385	iCMS2	LAS1L	LAS1L	True
GSE294385	iCMS2	LDHB		False
GSE294385	iCMS2	LY6G6F-LY6G6D		False
GSE294385	iCMS2	LYPLA1		False
GSE294385	iCMS2	MALSU1	MALSU1	True
GSE294385	iCMS2	MAPK13	MAPK13	True
GSE294385	iCMS2	MAPRE1	MAPRE1	True
GSE294385	iCMS2	MAVS	MAVS	True
GSE294385	iCMS2	MCTS1		False
GSE294385	iCMS2	MED30	MED30	True
GSE294385	iCMS2	MED4	MED4	True
GSE294385	iCMS2	MEP1A	MEP1A	True
GSE294385	iCMS2	MICU2	MICU2	True
GSE294385	iCMS2	MOGAT3	MOGAT3	True
GSE294385	iCMS2	MPLKIP	MPLKIP	True
GSE294385	iCMS2	MRGBP	MRGBP	True
GSE294385	iCMS2	MRPL13		False
GSE294385	iCMS2	MRPS17		False
GSE294385	iCMS2	MRPS24		False
GSE294385	iCMS2	MRPS31		False
GSE294385	iCMS2	MYC	MYC	True
GSE294385	iCMS2	NAA10		False
GSE294385	iCMS2	NAA20	NAA20	True
GSE294385	iCMS2	NAE1	NAE1	True
GSE294385	iCMS2	NCBP2	NCBP2	True
GSE294385	iCMS2	NCOA3	NCOA3	True
GSE294385	iCMS2	NDFIP2	NDFIP2	True
GSE294385	iCMS2	NDRG3	NDRG3	True
GSE294385	iCMS2	NEK3	NEK3	True
GSE294385	iCMS2	NELFCD	NELFCD	True
GSE294385	iCMS2	NEU1	NEU1	True
GSE294385	iCMS2	NEU4	NEU4	True
GSE294385	iCMS2	NFS1	NFS1	True
GSE294385	iCMS2	NHLRC3	NHLRC3	True
GSE294385	iCMS2	NIP7		False
GSE294385	iCMS2	NIT2	NIT2	True
GSE294385	iCMS2	NKAP	NKAP	True
GSE294385	iCMS2	NKD1	NKD1	True
GSE294385	iCMS2	NORAD		False
GSE294385	iCMS2	NOX1	NOX1	True
GSE294385	iCMS2	NSDHL	NSDHL	True
GSE294385	iCMS2	NUAK2	NUAK2	True
GSE294385	iCMS2	NUDT4		False
GSE294385	iCMS2	NUPL2		False
GSE294385	iCMS2	NXPE4	NXPE4	True
GSE294385	iCMS2	NXT1	NXT1	True
GSE294385	iCMS2	OGFR	OGFR	True
GSE294385	iCMS2	OSBPL2	OSBPL2	True
GSE294385	iCMS2	OSER1	OSER1	True
GSE294385	iCMS2	PAK1IP1	PAK1IP1	True
GSE294385	iCMS2	PAN3	PAN3	True
GSE294385	iCMS2	PCID2	PCID2	True
GSE294385	iCMS2	PCIF1	PCIF1	True
GSE294385	iCMS2	PCMTD2	PCMTD2	True
GSE294385	iCMS2	PCSK1N	PCSK1N	True
GSE294385	iCMS2	PDP1	PDP1	True
GSE294385	iCMS2	PDPK1	PDPK1	True
GSE294385	iCMS2	PDRG1	PDRG1	True
GSE294385	iCMS2	PEPD	PEPD	True
GSE294385	iCMS2	PET117	PET117	True
GSE294385	iCMS2	PEX16	PEX16	True
GSE294385	iCMS2	PFDN4	PFDN4	True
GSE294385	iCMS2	PGRMC1	PGRMC1	True
GSE294385	iCMS2	PHF20	PHF20	True
GSE294385	iCMS2	PHYH	PHYH	True
GSE294385	iCMS2	PID1	PID1	True
GSE294385	iCMS2	PIGU	PIGU	True
GSE294385	iCMS2	PKIG	PKIG	True
GSE294385	iCMS2	PLAGL2	PLAGL2	True
GSE294385	iCMS2	PLCB4	PLCB4	True
GSE294385	iCMS2	PLIN2	PLIN2	True
GSE294385	iCMS2	PLTP	PLTP	True
GSE294385	iCMS2	PM20D2	PM20D2	True
GSE294385	iCMS2	PMEPA1	PMEPA1	True
GSE294385	iCMS2	POFUT1	POFUT1	True
GSE294385	iCMS2	PPP1R14D	PPP1R14D	True
GSE294385	iCMS2	PQBP1	PQBP1	True
GSE294385	iCMS2	PRAP1	PRAP1	True
GSE294385	iCMS2	PRELID3B	PRELID3B	True
GSE294385	iCMS2	PRKDC	PRKDC	True
GSE294385	iCMS2	PROSER1	PROSER1	True
GSE294385	iCMS2	PROX1	PROX1	True
GSE294385	iCMS2	PRPF6	PRPF6	True
GSE294385	iCMS2	PRR15	PRR15	True
GSE294385	iCMS2	PRSS23	PRSS23	True
GSE294385	iCMS2	PSMA7	PSMA7	True
GSE294385	iCMS2	PSPH	PSPH	True
GSE294385	iCMS2	PTPRO	PTPRO	True
GSE294385	iCMS2	QPRT	QPRT	True
GSE294385	iCMS2	RAB15	RAB15	True
GSE294385	iCMS2	RAB20	RAB20	True
GSE294385	iCMS2	RAB22A	RAB22A	True
GSE294385	iCMS2	RAE1	RAE1	True
GSE294385	iCMS2	RALGAPB	RALGAPB	True
GSE294385	iCMS2	RALY	RALY	True
GSE294385	iCMS2	RASL11A	RASL11A	True
GSE294385	iCMS2	RB1CC1	RB1CC1	True
GSE294385	iCMS2	RBM39	RBM39	True
GSE294385	iCMS2	RBMX2	RBMX2	True
GSE294385	iCMS2	RETREG1	RETREG1	True
GSE294385	iCMS2	RGMB	RGMB	True
GSE294385	iCMS2	RIDA	RIDA	True
GSE294385	iCMS2	RNASEH2B	RNASEH2B	True
GSE294385	iCMS2	RNF113A	RNF113A	True
GSE294385	iCMS2	RNF114	RNF114	True
GSE294385	iCMS2	RNF170	RNF170	True
GSE294385	iCMS2	RNF43	RNF43	True
GSE294385	iCMS2	RNF6	RNF6	True
GSE294385	iCMS2	RP9	RP9	True
GSE294385	iCMS2	RPIA	RPIA	True
GSE294385	iCMS2	RPN2	RPN2	True
GSE294385	iCMS2	RPRD1B	RPRD1B	True
GSE294385	iCMS2	RPUSD1	RPUSD1	True
GSE294385	iCMS2	RRP9	RRP9	True
GSE294385	iCMS2	RRS1	RRS1	True
GSE294385	iCMS2	RUBCNL	RUBCNL	True
GSE294385	iCMS2	SATB2	SATB2	True
GSE294385	iCMS2	SCAND1	SCAND1	True
GSE294385	iCMS2	SCARB1	SCARB1	True
GSE294385	iCMS2	SCML1	SCML1	True
GSE294385	iCMS2	SELENOP	SELENOP	True
GSE294385	iCMS2	SEMA5A	SEMA5A	True
GSE294385	iCMS2	SERINC3	SERINC3	True
GSE294385	iCMS2	SERPINE2	SERPINE2	True
GSE294385	iCMS2	SHD	SHD	True
GSE294385	iCMS2	SINHCAF	SINHCAF	True
GSE294385	iCMS2	SLC20A2	SLC20A2	True
GSE294385	iCMS2	SLC26A2	SLC26A2	True
GSE294385	iCMS2	SLC26A3	SLC26A3	True
GSE294385	iCMS2	SLC29A1	SLC29A1	True
GSE294385	iCMS2	SLC2A8	SLC2A8	True
GSE294385	iCMS2	SLC35C2	SLC35C2	True
GSE294385	iCMS2	SLC38A5	SLC38A5	True
GSE294385	iCMS2	SLC39A5	SLC39A5	True
GSE294385	iCMS2	SLC3A2	SLC3A2	True
GSE294385	iCMS2	SLC52A2		False
GSE294385	iCMS2	SLC5A6	SLC5A6	True
GSE294385	iCMS2	SLC7A6	SLC7A6	True
GSE294385	iCMS2	SMAP1	SMAP1	True
GSE294385	iCMS2	SMIM26	SMIM26	True
GSE294385	iCMS2	SNRPB	SNRPB	True
GSE294385	iCMS2	SNRPB2	SNRPB2	True
GSE294385	iCMS2	SOX4	SOX4	True
GSE294385	iCMS2	SPATA13	SPATA13	True
GSE294385	iCMS2	SPINK1	SPINK1	True
GSE294385	iCMS2	SPRYD7	SPRYD7	True
GSE294385	iCMS2	ST6GAL1	ST6GAL1	True
GSE294385	iCMS2	STAU1	STAU1	True
GSE294385	iCMS2	STK4	STK4	True
GSE294385	iCMS2	STRAP	STRAP	True
GSE294385	iCMS2	STX16	STX16	True
GSE294385	iCMS2	SUCLA2		False
GSE294385	iCMS2	SUPT20H	SUPT20H	True
GSE294385	iCMS2	SYS1	SYS1	True
GSE294385	iCMS2	TBC1D4	TBC1D4	True
GSE294385	iCMS2	TBRG4	TBRG4	True
GSE294385	iCMS2	TCF7	TCF7	True
GSE294385	iCMS2	TDGF1		False
GSE294385	iCMS2	TFCP2L1	TFCP2L1	True
GSE294385	iCMS2	THBS1	THBS1	True
GSE294385	iCMS2	TIMM17B	TIMM17B	True
GSE294385	iCMS2	TIMM8A	TIMM8A	True
GSE294385	iCMS2	TIMP3	TIMP3	True
GSE294385	iCMS2	TLE2	TLE2	True
GSE294385	iCMS2	TNNC2	TNNC2	True
GSE294385	iCMS2	TOMM34	TOMM34	True
GSE294385	iCMS2	TOP1MT	TOP1MT	True
GSE294385	iCMS2	TP53RK	TP53RK	True
GSE294385	iCMS2	TPD52L2	TPD52L2	True
GSE294385	iCMS2	TPX2	TPX2	True
GSE294385	iCMS2	TRAP1	TRAP1	True
GSE294385	iCMS2	TRIB3	TRIB3	True
GSE294385	iCMS2	TRPC4AP	TRPC4AP	True
GSE294385	iCMS2	TSC22D1	TSC22D1	True
GSE294385	iCMS2	TSPAN6	TSPAN6	True
GSE294385	iCMS2	TWISTNB	TWISTNB	True
GSE294385	iCMS2	TXLNG		False
GSE294385	iCMS2	TXNDC9	TXNDC9	True
GSE294385	iCMS2	UBA2	UBA2	True
GSE294385	iCMS2	UBAC2	UBAC2	True
GSE294385	iCMS2	UBE2C	UBE2C	True
GSE294385	iCMS2	UCA1		False
GSE294385	iCMS2	UCHL3	UCHL3	True
GSE294385	iCMS2	UCKL1	UCKL1	True
GSE294385	iCMS2	UGT2A3	UGT2A3	True
GSE294385	iCMS2	UPF3A	UPF3A	True
GSE294385	iCMS2	UTP14A	UTP14A	True
GSE294385	iCMS2	UTP23	UTP23	True
GSE294385	iCMS2	UTP4	UTP4	True
GSE294385	iCMS2	VAPB	VAPB	True
GSE294385	iCMS2	VAV3	VAV3	True
GSE294385	iCMS2	VBP1	VBP1	True
GSE294385	iCMS2	VMA21		False
GSE294385	iCMS2	XRN2	XRN2	True
GSE294385	iCMS2	YAE1D1		False
GSE294385	iCMS2	YTHDF1	YTHDF1	True
GSE294385	iCMS2	YWHAB	YWHAB	True
GSE294385	iCMS2	ZBTB10	ZBTB10	True
GSE294385	iCMS2	ZC3H13	ZC3H13	True
GSE294385	iCMS2	ZDHHC9	ZDHHC9	True
GSE294385	iCMS2	ZFAND1	ZFAND1	True
GSE294385	iCMS2	ZFAS1		False
GSE294385	iCMS2	ZMYND8	ZMYND8	True
GSE294385	iCMS2	ZNF503	ZNF503	True
GSE294385	iCMS3	ABHD3	ABHD3	True
GSE294385	iCMS3	ABO	ABO	True
GSE294385	iCMS3	ACADS	ACADS	True
GSE294385	iCMS3	ACER3	ACER3	True
GSE294385	iCMS3	ADAM9	ADAM9	True
GSE294385	iCMS3	AGR2	AGR2	True
GSE294385	iCMS3	AGR3	AGR3	True
GSE294385	iCMS3	AGRN	AGRN	True
GSE294385	iCMS3	AHNAK	AHNAK	True
GSE294385	iCMS3	AKAP13	AKAP13	True
GSE294385	iCMS3	AKR7A3		False
GSE294385	iCMS3	AKT1	AKT1	True
GSE294385	iCMS3	ALDH6A1	ALDH6A1	True
GSE294385	iCMS3	ALDOB	ALDOB	True
GSE294385	iCMS3	AMN	AMN	True
GSE294385	iCMS3	ANG	ANG	True
GSE294385	iCMS3	ANKRD36C		False
GSE294385	iCMS3	ANPEP	ANPEP	True
GSE294385	iCMS3	ANXA1	ANXA1	True
GSE294385	iCMS3	ANXA13	ANXA13	True
GSE294385	iCMS3	AQP3	AQP3	True
GSE294385	iCMS3	ARSA	ARSA	True
GSE294385	iCMS3	ASAP2	ASAP2	True
GSE294385	iCMS3	ASRGL1	ASRGL1	True
GSE294385	iCMS3	ATL3	ATL3	True
GSE294385	iCMS3	ATP1B1	ATP1B1	True
GSE294385	iCMS3	ATP2A3	ATP2A3	True
GSE294385	iCMS3	ATP8A1	ATP8A1	True
GSE294385	iCMS3	ATP8B1	ATP8B1	True
GSE294385	iCMS3	B3GALT5	B3GALT5	True
GSE294385	iCMS3	B3GNT7	B3GNT7	True
GSE294385	iCMS3	BAIAP2L2	BAIAP2L2	True
GSE294385	iCMS3	BCAS1		False
GSE294385	iCMS3	BNIP3L	BNIP3L	True
GSE294385	iCMS3	BTBD6	BTBD6	True
GSE294385	iCMS3	C12ORF57	C12ORF57	True
GSE294385	iCMS3	C18ORF32	C18ORF32	True
GSE294385	iCMS3	C2ORF88	C2ORF88	True
GSE294385	iCMS3	C4BPB	C4BPB	True
GSE294385	iCMS3	C9ORF3		False
GSE294385	iCMS3	CA12	CA12	True
GSE294385	iCMS3	CA2	CA2	True
GSE294385	iCMS3	CA7	CA7	True
GSE294385	iCMS3	CA9	CA9	True
GSE294385	iCMS3	CAMK2D	CAMK2D	True
GSE294385	iCMS3	CANT1	CANT1	True
GSE294385	iCMS3	CARD16	CARD16	True
GSE294385	iCMS3	CASC4		False
GSE294385	iCMS3	CASZ1	CASZ1	True
GSE294385	iCMS3	CCAR2	CCAR2	True
GSE294385	iCMS3	CCDC68	CCDC68	True
GSE294385	iCMS3	CCNG2	CCNG2	True
GSE294385	iCMS3	CD55	CD55	True
GSE294385	iCMS3	CDC42EP1	CDC42EP1	True
GSE294385	iCMS3	CDC42EP5	CDC42EP5	True
GSE294385	iCMS3	CDKN2A		False
GSE294385	iCMS3	CDKN2B	CDKN2B	True
GSE294385	iCMS3	CEACAM7	CEACAM7	True
GSE294385	iCMS3	CEP70	CEP70	True
GSE294385	iCMS3	CFD	CFD	True
GSE294385	iCMS3	CHCHD10	CHCHD10	True
GSE294385	iCMS3	CHD3		False
GSE294385	iCMS3	CKAP4	CKAP4	True
GSE294385	iCMS3	CLCA1	CLCA1	True
GSE294385	iCMS3	CLCA4	CLCA4	True
GSE294385	iCMS3	CLSTN1	CLSTN1	True
GSE294385	iCMS3	CLU	CLU	True
GSE294385	iCMS3	COL16A1	COL16A1	True
GSE294385	iCMS3	COPG1	COPG1	True
GSE294385	iCMS3	CRACR2B	CRACR2B	True
