dataset	component	gene	source_gene	measured_variable
GSE151165	RSC	SLCO4A1	SLCO4A1	True
GSE151165	RSC	SLPI	SLPI	True
GSE151165	RSC	SMIM33		False
GSE151165	RSC	SNORA20		False
GSE151165	RSC	SNORD104		False
GSE151165	RSC	SNORD47		False
GSE151165	RSC	SNORD92		False
GSE151165	RSC	SOCS3	SOCS3	True
GSE151165	RSC	SORL1	SORL1	True
GSE151165	RSC	SPATA6	SPATA6	True
GSE151165	RSC	SPP1	SPP1	True
GSE151165	RSC	STX11	STX11	True
GSE151165	RSC	SULF2	SULF2	True
GSE151165	RSC	SYT8	SYT8	True
GSE151165	RSC	TCIM		False
GSE151165	RSC	TCIRG1	TCIRG1	True
GSE151165	RSC	TGFBI	TGFBI	True
GSE151165	RSC	TGM2	TGM2	True
GSE151165	RSC	TIMP2	TIMP2	True
GSE151165	RSC	TINAGL1	TINAGL1	True
GSE151165	RSC	TLR4	TLR4	True
GSE151165	RSC	TMEM184C	TMEM184C	True
GSE151165	RSC	TMEM43	TMEM43	True
GSE151165	RSC	TNF	TNF	True
GSE151165	RSC	TNFAIP3	TNFAIP3	True
GSE151165	RSC	TNFAIP8	TNFAIP8	True
GSE151165	RSC	TNFRSF1B	TNFRSF1B	True
GSE151165	RSC	TNFSF9	TNFSF9	True
GSE151165	RSC	TNIP3	TNIP3	True
GSE151165	RSC	TNNI2	TNNI2	True
GSE151165	RSC	TNNT2	TNNT2	True
GSE151165	RSC	TNS4	TNS4	True
GSE151165	RSC	TRAM2	TRAM2	True
GSE151165	RSC	TRIM15	TRIM15	True
GSE151165	RSC	TRIM40	TRIM40	True
GSE151165	RSC	TSPAN4	TSPAN4	True
GSE151165	RSC	TSPAN6	TSPAN6	True
GSE151165	RSC	TUBA1A	TUBA1A	True
GSE151165	RSC	VAMP5	VAMP5	True
GSE151165	RSC	VIM	VIM	True
GSE151165	RSC	VNN1	VNN1	True
GSE151165	RSC	WFDC2	WFDC2	True
GSE151165	RSC	WWTR1	WWTR1	True
GSE151165	RSC	ZMAT3	ZMAT3	True
GSE151165	RSC	ZNF296	ZNF296	True
GSE151165	RSC	ZNF703	ZNF703	True
GSE151165	iCMS2	A1CF	A1CF	True
GSE151165	iCMS2	ABHD12	ABHD12	True
GSE151165	iCMS2	ABRACL		False
GSE151165	iCMS2	ACOT8	ACOT8	True
GSE151165	iCMS2	ADIRF		False
GSE151165	iCMS2	ADRM1	ADRM1	True
GSE151165	iCMS2	AHCY	AHCY	True
GSE151165	iCMS2	AIFM3	AIFM3	True
GSE151165	iCMS2	AKAP1	AKAP1	True
GSE151165	iCMS2	ALKBH3	ALKBH3	True
GSE151165	iCMS2	ANO9	ANO9	True
GSE151165	iCMS2	AQP8	AQP8	True
GSE151165	iCMS2	AREG	AREG	True
GSE151165	iCMS2	ARFGAP1	ARFGAP1	True
GSE151165	iCMS2	ARFRP1	ARFRP1	True
GSE151165	iCMS2	ARHGAP45		False
GSE151165	iCMS2	ARID3A	ARID3A	True
GSE151165	iCMS2	ARL4A	ARL4A	True
GSE151165	iCMS2	ARMC1	ARMC1	True
GSE151165	iCMS2	ARSE	ARSE	True
GSE151165	iCMS2	ASCL2	ASCL2	True
GSE151165	iCMS2	ASPSCR1	ASPSCR1	True
GSE151165	iCMS2	ASXL1	ASXL1	True
GSE151165	iCMS2	ATP10B	ATP10B	True
GSE151165	iCMS2	ATP6V1H	ATP6V1H	True
GSE151165	iCMS2	ATP9A	ATP9A	True
GSE151165	iCMS2	AURKA	AURKA	True
GSE151165	iCMS2	AVL9	AVL9	True
GSE151165	iCMS2	AXIN2	AXIN2	True
GSE151165	iCMS2	BCAP31	BCAP31	True
GSE151165	iCMS2	BCL2L1	BCL2L1	True
GSE151165	iCMS2	BLCAP	BLCAP	True
GSE151165	iCMS2	BOP1	BOP1	True
GSE151165	iCMS2	C10ORF99	C10ORF99	True
GSE151165	iCMS2	C1GALT1C1	C1GALT1C1	True
GSE151165	iCMS2	C2	C2	True
GSE151165	iCMS2	C20ORF27	C20ORF27	True
GSE151165	iCMS2	C6ORF222	C6ORF222	True
GSE151165	iCMS2	C6ORF48	C6ORF48	True
GSE151165	iCMS2	C8ORF33	C8ORF33	True
